T	 NP(LIQUID)	NP(B2_VACANCY)	NP(FCC_A1#1)	NP(FCC_A1#2)	NP(FCC_A1#3)	NP(LAVES_PHASE_C14#1)	NP(LAVES_PHASE_C14#2)	NP(LAVES_PHASE_C14#3)	NP(M23C6)	NP(M7C3)
1499.85	1	0	0	0	0	0	0	0	0	0
1490	1	0	0	0	0	0	0	0	0	0
1480	1	0	0	0	0	0	0	0	0	0
1470	1	0	0	0	0	0	0	0	0	0
1460	1	0	0	0	0	0	0	0	0	0
1450	1	0	0	0	0	0	0	0	0	0
1440	1	0	0	0	0	0	0	0	0	0
1430	1	0	0	0	0	0	0	0	0	0
1427.768	1	0	0	0	0	0	0	0	0	0
1427.768	1	0	0	0	0	0	0	0	0	0
1420	.7042004	0	.2957997	0	0	0	0	0	0	0
1410	.4574175	0	.5425825	0	0	0	0	0	0	0
1400	.3054864	0	.6945136	0	0	0	0	0	0	0
1390	.2087452	0	.7912548	0	0	0	0	0	0	0
1380	.1442993	0	.8557007	0	0	0	0	0	0	0
1370	.09934681	0	.9006532	0	0	0	0	0	0	0
1360	.06663677	0	.9333632	0	0	0	0	0	0	0
1350	.04192757	0	.9580724	0	0	0	0	0	0	0
1346.226	.03411602	0	.965884	0	0	0	0	0	0	0
1346.226	.03411602	0	.965884	0	0	0	0	0	0	0
1342.73	9.386549E-15	0	.9983473	.001652706	0	0	0	0	0	0
1342.73	0	0	.9983473	.001652706	0	0	0	0	0	0
1340	0	0	.9982823	.001717656	0	0	0	0	0	0
1330	0	0	.9980479	.001952121	0	0	0	0	0	0
1320	0	0	.9978188	.002181237	0	0	0	0	0	0
1310	0	0	.997595	.002405031	0	0	0	0	0	0
1300	0	0	.9973765	.002623533	0	0	0	0	0	0
1290	0	0	.9971632	.002836776	0	0	0	0	0	0
1280	0	0	.9969552	.003044794	0	0	0	0	0	0
1270	0	0	.9967524	.003247623	0	0	0	0	0	0
1260	0	0	.9965547	.003445303	0	0	0	0	0	0
1250	0	0	.9963621	.003637874	0	0	0	0	0	0
1240	0	0	.9961746	.003825376	0	0	0	0	0	0
1230	0	0	.9959922	.004007853	0	0	0	0	0	0
1220	0	0	.9958147	.004185347	0	0	0	0	0	0
1210	0	0	.9956421	.004357904	0	0	0	0	0	0
1200	0	0	.9954744	.004525568	0	0	0	0	0	0
1200	0	0	.9954744	.004525568	0	0	0	0	0	0
1190	0	0	.9953116	.004688386	0	0	0	0	0	0
1180	0	0	.9951536	.004846403	0	0	0	0	0	0
1170	0	0	.9950003	.004999667	0	0	0	0	0	0
1160	0	0	.9948518	.005148226	0	0	0	0	0	0
1150	0	0	.9947079	.005292129	0	0	0	0	0	0
1140	0	0	.9945686	.005431424	0	0	0	0	0	0
1130	0	0	.9944338	.005566161	0	0	0	0	0	0
1120	0	0	.9943036	.005696392	0	0	0	0	0	0
1110	0	0	.9941778	.005822166	0	0	0	0	0	0
1100	0	0	.9940565	.005943538	0	0	0	0	0	0
1090	0	0	.9939394	.006060558	0	0	0	0	0	0
1080	0	0	.9938267	.006173281	0	0	0	0	0	0
1070	0	0	.9937182	.006281761	0	0	0	0	0	0
1060	0	0	.9936139	.006386054	0	0	0	0	0	0
1050	0	0	.9935138	.006486216	0	0	0	0	0	0
1040	0	0	.9934177	.006582303	0	0	0	0	0	0
1030	0	0	.9933256	.006674375	0	0	0	0	0	0
1020	0	0	.9932375	.00676249	0	0	0	0	0	0
1010	0	0	.9931533	.00684671	0	0	0	0	0	0
1000	0	0	.9930729	.006927095	0	0	0	0	0	0
990	0	0	.9929963	.007003711	0	0	0	0	0	0
980	0	0	.9929234	.007076622	0	0	0	0	0	0
970	0	0	.9928541	.007145896	0	0	0	0	0	0
960	0	0	.9927884	.007211604	0	0	0	0	0	0
950	0	0	.9927262	.007273818	0	0	0	0	0	0
940	0	0	.9926674	.007332615	0	0	0	0	0	0
930	0	0	.9926119	.007388074	0	0	0	0	0	0
920	0	0	.9925597	.007440279	0	0	0	0	0	0
910	0	0	.9925107	.007489318	0	0	0	0	0	0
900	0	0	.9924647	.007535284	0	0	0	0	0	0
890	0	0	.9924217	.007578276	0	0	0	0	0	0
880	0	0	.9923816	.007618396	0	0	0	0	0	0
870	0	0	.9923443	.007655755	0	0	0	0	0	0
860	0	0	.9923095	.007690466	0	0	0	0	0	0
850	0	0	.9922774	.007722649	0	0	0	0	0	0
840	0	0	.9922476	.00775243	0	0	0	0	0	0
830	0	0	.9922201	.007779937	0	0	0	0	0	0
820	0	0	.9921947	.007805304	0	0	0	0	0	0
810	0	0	.9921713	.007828666	0	0	0	0	0	0
800	0	0	.9921498	.00785016	0	0	0	0	0	0
790	0	0	.9921301	.007869925	0	0	0	0	0	0
780	0	0	.9921119	.007888098	0	0	0	0	0	0
770	0	0	.9920952	.007904813	0	0	0	0	0	0
760	0	0	.9920798	.007920204	0	0	0	0	0	0
750	0	0	.9920656	.007934398	0	0	0	0	0	0
740	0	0	.9920525	.007947518	0	0	0	0	0	0
730	0	0	.9920403	.007959679	0	0	0	0	0	0
720	0	0	.992029	.007970992	0	0	0	0	0	0
720	0	0	.992029	.007970992	0	0	0	0	0	0
710	0	0	.9920184	.007981559	0	0	0	0	0	0
706.9259	0	0	.9920153	.007984673	0	0	0	0	0	0
706.9259	0	0	.9920153	.007984673	0	0	1.35792E-14	0	0	0
700	0	0	.9906434	.007990651	0	0	.001365933	0	0	0
690	0	0	.9887042	.00799881	0	0	.003297041	0	0	0
680	0	0	.9868144	.008006481	0	0	.005179093	0	0	0
670	0	0	.9849747	.008013741	0	0	.007011571	0	0	0
660	0	0	.9831854	.008020656	0	0	.008793974	0	0	0
650	0	0	.9814469	.008027288	0	0	.01052583	0	0	0
640	0	0	.9797596	.008033689	0	0	.01220668	0	0	0
630	0	0	.978124	.008039907	0	0	.01383614	0	0	0
630	0	0	.978124	.008039907	0	0	.01383614	0	0	0
620	0	0	.9765402	.008045983	0	0	.01541384	0	0	0
610	0	0	.9750086	.008051954	0	0	.01693948	0	0	0
600	0	0	.9735293	.008057851	0	0	.01841283	0	0	0
590	0	0	.9721025	.0080637	0	0	.01983376	0	0	0
580	0	0	.9707283	.008069527	0	0	.02120222	0	0	0
570	0	0	.9694064	.008075349	0	0	.02251828	0	0	0
560	0	0	.9681367	.008081185	0	0	.02378215	0	0	0
550	0	0	.9669188	.008087049	0	0	.0249942	0	0	0
540	0	0	.9657521	.008092951	0	0	.02615497	0	0	0
530.0535	0	0	.9646418	.008098872	0	0	.02725936	0	0	0
530.0535	0	0	.9646418	.008098872	0	0	.02725936	0	0	0
530.0535	0	0	.9646418	.008098872	0	0	.02725936	0	0	0
530	0	0	.9537749	.01272947	0	0	.03757126	0	0	0
