T	 X(B2_VACANCY,AL)	X(B2_VACANCY,C)	X(B2_VACANCY,CR)	X(B2_VACANCY,FE)	X(B2_VACANCY,MN)	X(B2_VACANCY,MO)	X(B2_VACANCY,NB)	X(B2_VACANCY,NI)	X(B2_VACANCY,SI)	X(B2_VACANCY,W)
1499.85	.3640502	0	0	0	0	0	0	.6359498	0	0
1490	.3649749	0	0	0	0	0	0	.6350251	0	0
1480	.3659165	0	0	0	0	0	0	.6340835	0	0
1470	.3668609	0	0	0	0	0	0	.6331391	0	0
1460	.3678083	0	0	0	0	0	0	.6321918	0	0
1450	.3687588	0	0	0	0	0	0	.6312412	0	0
1440	.3697119	0	0	0	0	0	0	.6302881	0	0
1430	.3706679	0	0	0	0	0	0	.6293321	0	0
1427.768	.3708816	0	0	0	0	0	0	.6291184	0	0
1427.768	.3708816	0	0	0	0	0	0	.6291184	0	0
1420	.3712821	0	0	0	0	0	0	.6287179	0	0
1410	.3718986	0	0	0	0	0	0	.6281014	0	0
1400	.3724981	0	0	0	0	0	0	.6275019	0	0
1390	.3730544	0	0	0	0	0	0	.6269456	0	0
1380	.3735775	0	0	0	0	0	0	.6264225	0	0
1370	.3740806	0	0	0	0	0	0	.6259194	0	0
1360	.3745731	0	0	0	0	0	0	.6254269	0	0
1350	.3750606	0	0	0	0	0	0	.6249394	0	0
1346.226	.375244	0	0	0	0	0	0	.624756	0	0
1346.226	.375244	0	0	0	0	0	0	.624756	0	0
1342.73	.3749508	0	0	0	0	0	0	.6250492	0	0
1342.73	.3749508	0	0	0	0	0	0	.6250492	0	0
1340	.3751036	0	0	0	0	0	0	.6248964	0	0
1330	.3756649	0	0	0	0	0	0	.6243351	0	0
1320	.376229	0	0	0	0	0	0	.623771	0	0
1310	.3767959	0	0	0	0	0	0	.6232041	0	0
1300	.3773655	0	0	0	0	0	0	.6226345	0	0
1290	.377938	0	0	0	0	0	0	.622062	0	0
1280	.3785133	0	0	0	0	0	0	.6214867	0	0
1270	.3790915	0	0	0	0	0	0	.6209085	0	0
1260	.3796724	0	0	0	0	0	0	.6203276	0	0
1250	.3802563	0	0	0	0	0	0	.6197437	0	0
1240	.380843	0	0	0	0	0	0	.619157	0	0
1230	.3814325	0	0	0	0	0	0	.6185675	0	0
1220	.382025	0	0	0	0	0	0	.617975	0	0
1210	.3826203	0	0	0	0	0	0	.6173797	0	0
1200	.3832184	0	0	0	0	0	0	.6167816	0	0
1200	.3832184	0	0	0	0	0	0	.6167816	0	0
1190	.3838195	0	0	0	0	0	0	.6161806	0	0
1180	.3844233	0	0	0	0	0	0	.6155767	0	0
1170	.38503	0	0	0	0	0	0	.61497	0	0
1160	.3856396	0	0	0	0	0	0	.6143604	0	0
1150	.386252	0	0	0	0	0	0	.613748	0	0
1140	.3868672	0	0	0	0	0	0	.6131328	0	0
1130	.3874852	0	0	0	0	0	0	.6125148	0	0
1120	.388106	0	0	0	0	0	0	.611894	0	0
1110	.3887296	0	0	0	0	0	0	.6112704	0	0
1100	.389356	0	0	0	0	0	0	.610644	0	0
1090	.3899851	0	0	0	0	0	0	.6100149	0	0
1080	.3906169	0	0	0	0	0	0	.6093831	0	0
1070	.3912514	0	0	0	0	0	0	.6087486	0	0
