T	 X(FCC_A1#1,AL)	X(FCC_A1#1,C)	X(FCC_A1#1,CR)	X(FCC_A1#1,FE)	X(FCC_A1#1,MN)	X(FCC_A1#1,MO)	X(FCC_A1#1,NB)	X(FCC_A1#1,NI)	X(FCC_A1#1,SI)	X(FCC_A1#1,W)
1499.85	.1244586	7.336484E-04	.02342282	.6237101	.001922604	.003960182	8.350062E-04	.2181188	.002417936	4.202969E-04
1490	.04462803	9.356569E-04	.1460335	.6198643	.001569015	.00916032	4.986213E-04	.1755433	.001748189	1.900993E-05
1480	.04490314	9.328543E-04	.1456224	.6197487	.001573247	.009155276	4.961786E-04	.1757919	.001757388	1.901891E-05
1470	.04518261	9.29959E-04	.1452096	.6196226	.001577551	.009150406	4.937472E-04	.1760479	.001766656	1.902775E-05
1460	.04546654	9.269698E-04	.1447951	.619486	.001581928	.009145716	4.913272E-04	.1763114	.001775994	1.903643E-05
1450	.04575494	9.238898E-04	.1443787	.6193398	.001586376	.009141233	4.889165E-04	.1765817	.001785403	1.904498E-05
1440	.04604799	9.207092E-04	.1439603	.6191823	.001590901	.009136919	4.865198E-04	.1768605	.001794877	1.905335E-05
1430	.04634574	9.174297E-04	.1435397	.619014	.001595501	.009132796	4.841356E-04	.1771472	.001804416	1.906154E-05
1427.768	.04641284	9.166841E-04	.1434455	.618975	.001596538	.009131902	4.836053E-04	.1772123	.001806553	1.906334E-05
1427.768	.04641284	9.166841E-04	.1434455	.618975	.001596538	.009131902	4.836053E-04	.1772123	.001806553	1.906334E-05
1420	.04739971	.001158365	.1458356	.6092538	.001701639	.01018919	6.528616E-04	.1817354	.002052154	2.123958E-05
1410	.04824578	.00149909	.1477767	.6005086	.001800806	.01126359	9.295504E-04	.1856271	.002325264	2.35343E-05
1400	.04872891	.001842775	.1489465	.5946666	.001867449	.0120415	.001265017	.1880777	.002538335	2.525959E-05
1390	.04898004	.002167833	.1496788	.5906222	.001911724	.01259687	.001648073	.1896702	.002697733	2.652836E-05
1380	.04909228	.00246594	.150154	.5876727	.001941438	.0129987	.002068306	.1907628	.00281634	2.746571E-05
1370	.04912192	.002737084	.1504694	.5854024	.001961703	.01329666	.002517494	.1915593	.002905866	2.816944E-05
1360	.0491012	.002985001	.1506802	.583567	.001975712	.01352377	.002989518	.1921739	.002974977	2.870821E-05
1350	.04904836	.0032146	.1508194	.5820204	.001985455	.01370171	.003479879	.1926715	.003029635	2.912888E-05
1346.226	.04902239	.003297512	.1508579	.5814921	.001988299	.01375922	.003668976	.192837	.003047379	2.926389E-05
1346.226	.04902239	.003297512	.1508579	.5814921	.001988299	.01375922	.003668976	.192837	.003047379	2.926389E-05
1342.73	.04891064	.002971038	.1512252	.5798176	.002001807	.01400184	.00396727	.1939422	.003132538	2.988824E-05
1342.73	.04891064	.002971038	.1512252	.5798176	.002001807	.01400184	.00396727	.1939422	.003132538	2.988824E-05
1340	.04891382	.002940409	.1512349	.5798553	.002001937	.01400189	.00393436	.1939548	.003132741	2.98894E-05
1330	.04892531	.002829778	.15127	.5799912	.002002407	.0140025	.003815115	.1940003	.003133477	2.989365E-05
1320	.04893654	.002721576	.1513043	.5801241	.002002867	.01400373	.003697933	.1940449	.003134197	2.989787E-05
1310	.04894752	.002615797	.1513378	.580254	.002003316	.01400554	.003582861	.1940884	.0031349	2.990206E-05
1300	.04895824	.002512434	.1513705	.5803809	.002003754	.01400785	.003469947	.1941309	.003135587	2.990623E-05
1290	.04896871	.002411481	.1514024	.5805048	.002004182	.01401061	.003359233	.1941724	.003136257	2.991038E-05
1280	.04897893	.002312927	.1514335	.5806257	.0020046	.01401376	.003250762	.1942129	.003136912	2.991452E-05
1270	.0489889	.002216764	.1514639	.5807437	.002005008	.01401723	.00314457	.1942525	.00313755	2.991864E-05
1260	.04899862	.00212298	.1514935	.5808587	.002005405	.01402097	.003040692	.194291	.003138173	2.992275E-05
1250	.04900809	.002031564	.1515223	.5809709	.002005793	.01402493	.002939158	.1943286	.003138779	2.992685E-05
1240	.04901731	.001942504	.1515504	.5810801	.00200617	.01402907	.002839995	.1943651	.00313937	2.993094E-05
1230	.04902629	.001855786	.1515778	.5811865	.002006537	.01403332	.002743225	.1944007	.003139945	2.993502E-05
1220	.04903503	.001771396	.1516043	.58129	.002006895	.01403767	.002648868	.1944354	.003140505	2.993909E-05
1210	.04904353	.001689321	.1516302	.5813907	.002007243	.01404205	.002556937	.1944691	.003141049	2.994315E-05
1200	.04905179	.001609545	.1516553	.5814885	.002007581	.01404645	.002467442	.1945019	.003141578	2.99472E-05
1200	.04905179	.001609545	.1516553	.5814885	.002007581	.01404645	.002467442	.1945019	.003141578	2.99472E-05
1190	.04905981	.001532052	.1516797	.5815836	.002007909	.01405082	.00238039	.1945337	.003142092	2.995123E-05
1180	.0490676	.001456827	.1517034	.5816759	.002008228	.01405515	.002295782	.1945646	.003142591	2.995525E-05
1170	.04907516	.001383851	.1517263	.5817655	.002008538	.0140594	.002213617	.1945945	.003143075	2.995926E-05
1160	.04908249	.001313109	.1517486	.5818524	.002008838	.01406357	.002133889	.1946236	.003143544	2.996325E-05
1150	.04908959	.001244582	.1517702	.5819366	.002009128	.01406762	.00205659	.1946518	.003143999	2.996722E-05
1140	.04909647	.001178252	.151791	.5820181	.00200941	.01407156	.001981707	.194679	.003144439	2.997117E-05
