T	 NP(LIQUID)	NP(B2_VACANCY)	NP(FCC_A1#1)	NP(FCC_A1#2)	NP(LAVES_PHASE_C14#1)	NP(LAVES_PHASE_C14#2)	NP(M23C6)	NP(M7C3)
1499.85	1	0	0	0	0	0	0	0
1490	1	0	0	0	0	0	0	0
1480	1	0	0	0	0	0	0	0
1470	1	0	0	0	0	0	0	0
1460	1	0	0	0	0	0	0	0
1450	1	0	0	0	0	0	0	0
1440	1	0	0	0	0	0	0	0
1430	1	0	0	0	0	0	0	0
1425.01	1	0	0	0	0	0	0	0
1425.01	1	0	0	0	0	0	0	0
1420	.8158973	0	.1841027	0	0	0	0	0
1410	.5494237	0	.4505763	0	0	0	0	0
1400	.3768367	0	.6231633	0	0	0	0	0
1390	.2630494	0	.7369506	0	0	0	0	0
1380	.185754	0	.8142461	0	0	0	0	0
1370	.1313799	0	.8686201	0	0	0	0	0
1360	.09175774	0	.9082423	0	0	0	0	0
1350	.06191135	0	.9380887	0	0	0	0	0
1344.364	.04817681	0	.9518232	0	0	0	0	0
1344.364	.04817681	0	.9518232	0	0	0	0	0
1340	6.203142E-04	0	.9971762	.00220351	0	0	0	0
1339.926	0	0	.9977675	.002232519	0	0	0	0
1339.926	0	0	.9977675	.002232519	0	0	0	0
1330	0	0	.9975328	.002467216	0	0	0	0
1320	0	0	.9973021	.002697945	0	0	0	0
1310	0	0	.997077	.00292299	0	0	0	0
1300	0	0	.9968576	.003142399	0	0	0	0
1290	0	0	.9966438	.003356221	0	0	0	0
1280	0	0	.9964355	.003564506	0	0	0	0
1270	0	0	.9962327	.003767304	0	0	0	0
1260	0	0	.9960353	.003964669	0	0	0	0
1250	0	0	.9958434	.004156652	0	0	0	0
1240	0	0	.9956567	.004343307	0	0	0	0
1230	0	0	.9954753	.004524689	0	0	0	0
1220	0	0	.9952992	.004700853	0	0	0	0
1210	0	0	.9951282	.004871854	0	0	0	0
1200	0	0	.9949623	.005037748	0	0	0	0
1200	0	0	.9949623	.005037748	0	0	0	0
1190	0	0	.9948014	.005198592	0	0	0	0
1180	0	0	.9946456	.005354444	0	0	0	0
1170	0	0	.9944946	.00550536	0	0	0	0
1160	0	0	.9943486	.005651399	0	0	0	0
1150	0	0	.9942074	.005792618	0	0	0	0
1140	0	0	.9940709	.005929078	0	0	0	0
1130	0	0	.9939392	.006060836	0	0	0	0
1120	0	0	.9938121	.006187953	0	0	0	0
1110	0	0	.9936895	.006310489	0	0	0	0
1100	0	0	.9935715	.006428503	0	0	0	0
1090	0	0	.9934579	.006542057	0	0	0	0
1080	0	0	.9933488	.006651212	0	0	0	0
1070	0	0	.993244	.00675603	0	0	0	0
1060	0	0	.9931434	.006856574	0	0	0	0
1050	0	0	.9930471	.006952908	0	0	0	0
1040	0	0	.9929549	.007045095	0	0	0	0
1031.373	0	0	.9928786	.007121345	0	0	0	0
1031.373	0	0	.9928786	.007121345	1.457168E-16	0	0	0
1030	0	0	.9926337	.007130508	2.357765E-04	0	0	0
1020	0	0	.9908765	.007196027	.001927472	0	0	0
1010	0	0	.989166	.007259378	.003574631	0	0	0
1000	0	0	.9875016	.007320533	.005177883	0	0	0
990	0	0	.9858826	.007379471	.006737888	0	0	0
980	0	0	.9843085	.007436177	.008255327	0	0	0
970	0	0	.9827785	.00749064	.009730904	0	0	0
960	0	0	.9812918	.007542857	.01116534	0	0	0
950	0	0	.9798478	.007592829	.01255937	0	0	0
940	0	0	.9784457	.007640563	.01391376	0	0	0
930	0	0	.9770847	.007686072	.01522926	0	0	0
920	0	0	.975764	.007729373	.01650667	0	0	0
910	0	0	.9744827	.00777049	.01774676	0	0	0
900	0	0	.9732402	.007809451	.01895035	0	0	0
890	0	0	.9720355	.00784629	.02011824	0	0	0
880	0	0	.9708677	.007881047	.02125124	0	0	0
870	0	0	.9697361	.007913766	.02235018	0	0	0
860	0	0	.9686396	.007944498	.02341589	0	0	0
850	0	0	.9675775	.007973298	.02444919	0	0	0
840	0	0	.9665489	.008000225	.02545091	0	0	0
830	0	0	.9655528	.008025343	.0264219	0	0	0
820	0	0	.9645883	.008048721	.02736299	0	0	0
810	0	0	.9636546	.008070431	.028275	0	0	0
800	0	0	.9627507	.008090547	.02915878	0	0	0
790	0	0	.9618757	.008109147	.03001515	0	0	0
780	0	0	.9610287	.008126311	.03084495	0	0	0
770	0	0	.9602089	.008142117	.03164899	0	0	0
760	0	0	.9594153	.008156648	.03242809	0	0	0
750	0	0	.958647	.008169984	.03318306	0	0	0
740	0	0	.9579031	.008182206	.0339147	0	0	0
730	0	0	.9571828	.00819339	.03462381	0	0	0
720	0	0	.9564852	.008203615	.03531116	0	0	0
710	0	0	.9558095	.008212954	.03597752	0	0	0
700	0	0	.9551549	.008221478	.03662363	0	0	0
690	0	0	.9545205	.008229257	.03725023	0	0	0
680	0	0	.9539056	.008236353	.03785803	0	0	0
670	0	0	.9533095	.008242829	.03844771	0	0	0
660	0	0	.9527313	.008248743	.03901994	0	0	0
650	0	0	.9521705	.008254147	.03957534	0	0	0
640	0	0	.9516264	.008259091	.04011452	0	0	0
630	0	0	.9510983	.008263622	.04063804	0	0	0
620	0	0	.9505858	.008267783	.04114642	0	0	0
610	0	0	.9500882	.008271612	.04164014	0	0	0
602.6242	0	0	.9497306	.008274244	.04199517	0	0	0
602.6242	0	0	.9497306	.008274244	.04199517	0	9.557459E-14	0
602.6242	0	0	.9497306	.008274244	.04199517	0	8.526079E-14	0
600	0	0	.9495382	.008248196	.04214893	0	6.469237E-05	0
590	0	0	.9487998	.008143017	.04273332	0	3.238224E-04	0
580	0	0	.9480511	.008027588	.04331633	0	6.050099E-04	0
570	0	0	.9472886	.0079006	.0438995	0	9.113192E-04	0
560	0	0	.9465087	.007760536	.04448449	0	.001246253	0
550	0	0	.9457074	.007605626	.04507311	0	.001613845	0
547.7445	0	0	.9455232	.007568428	.04520659	0	.001701736	0
547.7445	0	0	.9455232	.007568428	.04520659	1.19807E-14	.001701736	0
540	0	0	.9449368	.007530611	.04479462	9.421161E-04	.001795831	0
530	0	0	.9442078	.007477796	.04426992	.002118376	.001926088	0
520	0	0	.9435086	.00741999	.04375478	.003249234	.002067377	0
510	0	0	.9428368	.007356544	.04325097	.004334561	.00222118	0
500	0	0	.9421893	.007286672	.04276058	.005374122	.002389288	0
490	0	0	.9415631	.007209409	.04228609	.006367552	.002573878	0
480	0	0	.940954	.007123565	.04183049	.007314312	.002777628	0
470	0	0	.9403575	.007027653	.04139734	.008213623	.003003872	0
460	0	0	.939768	.006919797	.04099104	.009064372	.003256815	0
450	0	0	.9391785	.006797588	.04061705	.009864968	.003541845	0
440	0	0	.9385807	.006657878	.04028232	.01061312	.003866	0
430	0	0	.9379634	.006496464	.03999594	.01130552	.004238673	0
420	0	0	.9373123	.006307576	.03977018	.01193724	.004672756	0
410	0	0	.9366073	.00608302	.03962223	.01250089	.005186558	0
400	0	0	.9358198	.00581064	.0395774	.0129849	.005807252	0
399.85	0	0	.9358072	.005806105	.03957769	.01299147	.005817567	0
