T	 X(LAVES_PHASE_C14#2,AL)	X(LAVES_PHASE_C14#2,C)	X(LAVES_PHASE_C14#2,CR)	X(LAVES_PHASE_C14#2,FE)	X(LAVES_PHASE_C14#2,MN)	X(LAVES_PHASE_C14#2,MO)	X(LAVES_PHASE_C14#2,NB)	X(LAVES_PHASE_C14#2,NI)	X(LAVES_PHASE_C14#2,SI)	X(LAVES_PHASE_C14#2,W)
1499.85	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1490	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1480	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1470	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1460	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1450	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1440	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1430	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1425.01	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1425.01	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1420	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1410	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1400	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1390	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1380	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1370	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1360	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1350	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1344.364	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1344.364	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1340	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1339.926	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1339.926	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1330	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1320	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1310	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1300	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1290	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1280	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1270	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1260	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1250	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1240	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1230	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1220	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1210	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1200	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1200	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1190	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1180	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1170	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
1160	2.018377E-12	0	.5651432	.001366811	1.544755E-07	.2269128	1.414272E-04	1.792466E-05	.1001397	.106278
