T	 X(M23C6,AL)	X(M23C6,C)	X(M23C6,CR)	X(M23C6,FE)	X(M23C6,MN)	X(M23C6,MO)	X(M23C6,NB)	X(M23C6,NI)	X(M23C6,SI)	X(M23C6,W)
1499.85	0	.2068966	.3798619	.3248144	6.810379E-04	.00148289	0	.03273424	0	.05352898
1490	0	.2068966	.381503	.3231186	6.787175E-04	.001515188	0	.0322673	0	.05402062
1480	0	.2068966	.3831773	.3213855	6.763865E-04	.001549374	0	.03179487	0	.05452007
1470	0	.2068966	.3848597	.3196408	6.740804E-04	.001585037	0	.03132411	0	.05501965
1460	0	.2068966	.3865503	.3178849	6.717998E-04	.00162225	0	.03085506	0	.05551914
1450	0	.2068966	.3882491	.3161178	6.695449E-04	.001661088	0	.03038758	0	.05601837
1440	0	.2068966	.3899558	.3143395	6.673157E-04	.001701639	0	.02992208	0	.05651707
1430	0	.2068966	.3916707	.3125502	6.651125E-04	.001743987	0	.02945844	0	.05701503
1425.01	0	.2068966	.3925294	.3116532	6.640229E-04	.00176582	0	.02922782	0	.05726317
1425.01	0	.2068966	.3925294	.3116532	6.640229E-04	.00176582	0	.02922782	0	.05726317
1420	0	.2068966	.3966166	.3056165	6.757114E-04	.001847781	0	.02889009	0	.05945684
1410	0	.2068966	.4031498	.2961166	6.925753E-04	.001980998	0	.02819366	0	.06296979
1400	0	.2068966	.4082139	.2890534	7.023209E-04	.002084811	0	.02750673	0	.06554229
1390	0	.2068966	.4123827	.2835601	7.069629E-04	.002171409	0	.0268456	0	.06743667
1380	0	.2068966	.4160064	.2790641	7.081859E-04	.002249287	0	.02621112	0	.06886431
1370	0	.2068966	.419293	.2752064	7.071759E-04	.002323625	0	.0255996	0	.06997367
1360	0	.2068966	.4223662	.271765	7.047067E-04	.002397464	0	.0250069	0	.07086321
1350	0	.2068966	.4253011	.2686017	7.012703E-04	.002472622	0	.02442956	0	.07159721
1344.364	0	.2068966	.4269129	.2669067	6.990304E-04	.002516016	0	.02410989	0	.07195894
1344.364	0	.2068966	.4269129	.2669067	6.990304E-04	.002516016	0	.02410989	0	.07195894
1340	0	.2068966	.4293981	.2638801	6.963792E-04	.002563772	0	.02375289	0	.07281219
1339.926	0	.2068966	.4294348	.2638369	6.963326E-04	.002564547	0	.02374733	0	.07282354
1339.926	0	.2068966	.4294348	.2638369	6.963326E-04	.002564547	0	.02374733	0	.07282354
1330	0	.2068966	.4316128	.261782	6.916037E-04	.002641065	0	.02326541	0	.0731105
1320	0	.2068966	.4338181	.2596997	6.868622E-04	.00272217	0	.02278449	0	.07339212
1310	0	.2068966	.4360347	.2576049	6.821415E-04	.002807541	0	.02230819	0	.07366596
1300	0	.2068966	.438263	.2554973	6.774399E-04	.002897426	0	.02183653	0	.07393176
1290	0	.2068966	.4405031	.2533767	6.727551E-04	.002992091	0	.02136957	0	.07418923
1280	0	.2068966	.4427554	.2512427	6.68085E-04	.003091823	0	.02090731	0	.07443805
1270	0	.2068966	.4450203	.2490951	6.63427E-04	.003196929	0	.02044982	0	.07467791
1260	0	.2068966	.447298	.2469333	6.587786E-04	.003307741	0	.0199971	0	.07490846
1250	0	.2068966	.4495889	.2447572	6.541368E-04	.003424614	0	.01954921	0	.07512934
1240	0	.2068966	.4518933	.2425664	6.494994E-04	.003547932	0	.01910618	0	.07534016
1230	0	.2068966	.4542116	.2403603	6.448604E-04	.003678105	0	.01866803	0	.07554051
1220	0	.2068966	.4565442	.2381387	6.402161E-04	.003815578	0	.0182348	0	.07572996
1210	0	.2068966	.4588914	.2359011	6.355616E-04	.003960827	0	.01780654	0	.07590805
1200	0	.2068966	.4612536	.233647	6.308914E-04	.004114368	0	.01738326	0	.07607428
1200	0	.2068966	.4612536	.233647	6.308914E-04	.004114368	0	.01738326	0	.07607428
1190	0	.2068966	.4636313	.231376	6.261995E-04	.004276755	0	.01696501	0	.07622811
1180	0	.2068966	.4660249	.2290876	6.214794E-04	.004448584	0	.01655182	0	.076369
1170	0	.2068966	.4684349	.2267813	6.167241E-04	.0046305	0	.01614372	0	.07649633
1160	0	.2068966	.4708617	.2244565	6.119259E-04	.004823197	0	.01574075	0	.07660945
1150	0	.2068966	.4733057	.2221126	6.070764E-04	.005027422	0	.01534294	0	.07670767
1140	0	.2068966	.4757677	.2197491	6.021666E-04	.005243984	0	.01495032	0	.07679026
1130	0	.2068966	.478248	.2173653	5.971866E-04	.005473753	0	.01456291	0	.0768564
1120	0	.2068966	.4807472	.2149605	5.921258E-04	.005717669	0	.01418076	0	.07690524
1110	0	.2068966	.4832659	.2125341	5.869726E-04	.005976744	0	.0138039	0	.07693586
1100	0	.2068966	.4858048	.2100853	5.817145E-04	.006252074	0	.01343234	0	.07694727
1090	0	.2068966	.4883644	.2076133	5.763378E-04	.006544836	0	.01306613	0	.0769384
1080	0	.2068966	.4909456	.2051174	5.70828E-04	.006856304	0	.01270528	0	.07690811
1070	0	.2068966	.4935488	.2025966	5.651691E-04	.00718785	0	.01234983	0	.07685517
1060	0	.2068966	.496175	.2000502	5.59344E-04	.007540952	0	.01199979	0	.07677824
1050	0	.2068966	.4988248	.1974771	5.533345E-04	.007917205	0	.01165519	0	.07667591
1040	0	.2068966	.501499	.1948763	5.471207E-04	.008318324	0	.01131606	0	.07654663
1031.373	0	.2068966	.5038263	.1926097	5.415799E-04	.008685764	0	.0110279	0	.0764122
1031.373	0	.2068966	.5038263	.1926097	5.415799E-04	.008685764	0	.0110279	0	.0764122
1030	0	.2068966	.5042413	.19227	5.408534E-04	.008777567	0	.01099296	0	.07628081
1020	0	.2068966	.5073066	.189755	5.352431E-04	.00948052	0	.01073982	0	.07528632
1010	0	.2068966	.5104491	.1871659	5.290298E-04	.01024774	0	.01048899	0	.07422267
1000	0	.2068966	.5136715	.184499	5.221507E-04	.01108504	0	.01024049	0	.07308529
990	0	.2068966	.5169761	.1817504	5.145397E-04	.01199865	0	.00999436	0	.07186947
980	0	.2068966	.520365	.1789161	5.061287E-04	.01299511	0	.009750598	0	.07057043
970	0	.2068966	.5238403	.1759924	4.968489E-04	.0140813	0	.009509182	0	.06918344
960	0	.2068966	.5274032	.1729753	4.866329E-04	.01526431	0	.009270069	0	.0677039
950	0	.2068966	.5310545	.1698615	4.754171E-04	.01655131	0	.009033183	0	.0661275
940	0	.2068966	.5347941	.1666479	4.631452E-04	.01794945	0	.008798419	0	.06445039
930	0	.2068966	.5386207	.1633323	4.497724E-04	.01946562	0	.008565638	0	.06266945
920	0	.2068966	.5425317	.1599131	4.352696E-04	.02110615	0	.008334666	0	.06078252
910	0	.2068966	.546523	.1563903	4.19629E-04	.02287655	0	.008105295	0	.0587887
900	0	.2068966	.5505883	.1527652	4.028693E-04	.02478108	0	.007877287	0	.05668871
890	0	.2068966	.5547193	.1490411	3.850409E-04	.0268223	0	.007650373	0	.05448528
880	0	.2068966	.5589051	.1452237	3.662304E-04	.02900066	0	.007424269	0	.0521834
870	0	.2068966	.5631323	.1413212	3.465628E-04	.03131396	0	.007198678	0	.04979074
860	0	.2068966	.5673847	.1373445	3.262025E-04	.03375696	0	.006973315	0	.04731778
850	0	.2068966	.5716437	.1333075	3.053496E-04	.03632104	0	.006747921	0	.04477794
840	0	.2068966	.5758886	.1292268	2.842339E-04	.03899404	0	.006522284	0	.04218747
830	0	.2068966	.5800972	.1251215	2.63105E-04	.0417603	0	.006296262	0	.03956512
820	0	.2068966	.5842465	.1210123	2.422198E-04	.04460094	0	.006069803	0	.03693166
810	0	.2068966	.5883137	.1169214	2.218278E-04	.0474945	0	.00584296	0	.03430906
800	0	.2068966	.5922773	.1128708	2.021582E-04	.05041763	0	.005615903	0	.03171969
790	0	.2068966	.5961179	.1088818	1.834071E-04	.0533461	0	.005388917	0	.02918533
780	0	.2068966	.5998191	.1049741	1.657296E-04	.05625581	0	.005162392	0	.02672631
770	0	.2068966	.6033682	.1011648	1.492354E-04	.05912371	0	.004936814	0	.02436069
760	0	.2068966	.6067562	.09746809	1.339885E-04	.06192869	0	.004712737	0	.02210371
750	0	.2068966	.6099784	.09389469	1.200108E-04	.06465215	0	.004490761	0	.01996747
740	0	.2068966	.6130333	.09045208	1.072881E-04	.06727848	0	.004271508	0	.01796076
730	0	.2068966	.6159233	.08714451	9.577775E-05	.06979515	0	.004055593	0	.01608914
720	0	.2068966	.618653	.08397336	8.541582E-05	.0721928	0	.003843611	0	.01435523
710	0	.2068966	.6212297	.0809375	7.612465E-05	.07446499	0	.003636117	0	.012759
700	0	.2068966	.623662	.07803382	6.781891E-05	.07660799	0	.003433616	0	.01129818
690	0	.2068966	.6259598	.0752576	6.041059E-05	.07862043	0	.003236553	0	.009968676
680	0	.2068966	.6281334	.07260301	5.381269E-05	.08050296	0	.003045315	0	.008764981
670	0	.2068966	.6301935	.07006341	4.794188E-05	.08225789	0	.002860222	0	.00768053
660	0	.2068966	.6321506	.06763173	4.27201E-05	.08388885	0	.002681537	0	.006708042
650	0	.2068966	.6340149	.06530069	3.807555E-05	.08540048	0	.002509463	0	.005839798
640	0	.2068966	.6357962	.06306304	3.394306E-05	.0867982	0	.002344149	0	.005067878
630	0	.2068966	.6375035	.06091171	3.026407E-05	.08808792	0	.002185694	0	.004384352
620	0	.2068966	.6391451	.05883991	2.698638E-05	.08927587	0	.002034151	0	.003781435
610	0	.2068966	.6407286	.05684124	2.406375E-05	.09036845	0	.001889535	0	.0032516
602.6242	0	.2068966	.6418633	.05541041	2.211153E-05	.09111696	0	.001787295	0	.002903421
602.6242	0	.2068966	.6418633	.05541041	2.211153E-05	.09111696	0	.001787295	0	.002903421
602.6242	0	.2068966	.6418633	.05541041	2.211153E-05	.09111696	0	.001787295	0	.002903421
600	0	.2068966	.642258	.05492494	2.147522E-05	.09135602	0	.001752147	0	.002790925
