
 Phase Region for:
     BCC_A2                        
     FCC_A1                        
 col-1=T_CELSIU, col-2=T, col-3=W(FCC_A1,C), col-4=W(BCC_A2,C),
   7.00000E+02   9.73150E+02   7.71007E-03   1.73088E-04
   6.80000E+02   9.53150E+02   9.18557E-03   1.87641E-04
   6.60000E+02   9.33150E+02   1.07910E-02   2.00976E-04
   6.40000E+02   9.13150E+02   1.24996E-02   2.12425E-04
   6.20000E+02   8.93150E+02   1.42889E-02   2.21543E-04
   6.00000E+02   8.73150E+02   1.61404E-02   2.28055E-04
   5.80000E+02   8.53150E+02   1.80389E-02   2.31821E-04
   5.60000E+02   8.33150E+02   1.99721E-02   2.32802E-04
   5.40000E+02   8.13150E+02   2.19300E-02   2.31048E-04
   5.20000E+02   7.93150E+02   2.39045E-02   2.26680E-04
   5.00000E+02   7.73150E+02   2.58891E-02   2.19877E-04
   4.80000E+02   7.53150E+02   2.78784E-02   2.10867E-04
   4.60000E+02   7.33150E+02   2.98684E-02   1.99920E-04
   4.40000E+02   7.13150E+02   3.18554E-02   1.87339E-04
   4.20000E+02   6.93150E+02   3.38367E-02   1.73450E-04
   4.00000E+02   6.73150E+02   3.58101E-02   1.58595E-04

 Phase Region for:
     BCC_A2                        
     FCC_A1                        
 col-1=T_CELSIU, col-2=T, col-3=W(FCC_A1,C), col-4=W(BCC_A2,C),
   7.00000E+02   9.73150E+02   7.70437E-03   1.72949E-04
   7.20000E+02   9.93150E+02   6.39082E-03   1.58171E-04
   7.40000E+02   1.01315E+03   5.26320E-03   1.44193E-04
   7.60000E+02   1.03315E+03   4.27795E-03   1.29985E-04
   7.80000E+02   1.05315E+03   3.41074E-03   1.15036E-04
   8.00000E+02   1.07315E+03   2.64749E-03   9.91420E-05
   8.20000E+02   1.09315E+03   1.97659E-03   8.21646E-05
   8.40000E+02   1.11315E+03   1.38822E-03   6.40207E-05
   8.60000E+02   1.13315E+03   8.73835E-04   4.46699E-05
   8.80000E+02   1.15315E+03   4.25930E-04   2.41089E-05
   9.00000E+02   1.17315E+03   3.78197E-05   2.36734E-06
