
 Phase Region for:
     BCC_A2                        
     FCC_A1                        
 col-1=T_CELSIU, col-2=T, col-3=W(C),
   6.89647E+02   9.62797E+02   3.00000E-03
   7.00435E+02   9.73585E+02   2.75000E-03
   7.11680E+02   9.84830E+02   2.50000E-03
   7.23495E+02   9.96645E+02   2.25000E-03
   7.36063E+02   1.00921E+03   2.00000E-03
   7.49652E+02   1.02280E+03   1.75000E-03
   7.64750E+02   1.03790E+03   1.50000E-03
   7.82007E+02   1.05516E+03   1.25000E-03
   8.01420E+02   1.07457E+03   1.00000E-03
   8.23364E+02   1.09651E+03   7.50000E-04
   8.48398E+02   1.12155E+03   5.00000E-04
   8.77397E+02   1.15055E+03   2.50000E-04
   9.11674E+02   1.18482E+03   2.50000E-10

 Phase Region for:
     BCC_A2                        
     FCC_A1                        
 col-1=T_CELSIU, col-2=T, col-3=W(C),
   6.89647E+02   9.62797E+02   3.00000E-03
   6.79231E+02   9.52381E+02   3.25000E-03
   6.69130E+02   9.42280E+02   3.50000E-03
   6.59289E+02   9.32439E+02   3.75000E-03
   6.49674E+02   9.22824E+02   4.00000E-03
   6.40251E+02   9.13401E+02   4.25000E-03
   6.31002E+02   9.04152E+02   4.50000E-03
   6.21900E+02   8.95050E+02   4.75000E-03
   6.12931E+02   8.86081E+02   5.00000E-03
   6.04076E+02   8.77226E+02   5.25000E-03
   5.95327E+02   8.68477E+02   5.50000E-03
   5.86672E+02   8.59822E+02   5.75000E-03
   5.78098E+02   8.51248E+02   6.00000E-03
   5.69599E+02   8.42749E+02   6.25000E-03
   5.61168E+02   8.34318E+02   6.50000E-03
   5.52796E+02   8.25946E+02   6.75000E-03
   5.44478E+02   8.17628E+02   7.00000E-03
   5.36207E+02   8.09357E+02   7.25000E-03
   5.27981E+02   8.01131E+02   7.50000E-03
   5.19796E+02   7.92946E+02   7.75000E-03
   5.11642E+02   7.84792E+02   8.00000E-03
   5.03518E+02   7.76668E+02   8.25000E-03
   4.95425E+02   7.68575E+02   8.50000E-03
   4.87352E+02   7.60502E+02   8.75000E-03
   4.79298E+02   7.52448E+02   9.00000E-03
   4.71263E+02   7.44413E+02   9.25000E-03
   4.63244E+02   7.36394E+02   9.50000E-03
   4.55235E+02   7.28385E+02   9.75000E-03
   4.47237E+02   7.20387E+02   1.00000E-02
   4.39245E+02   7.12395E+02   1.02500E-02
   4.31257E+02   7.04407E+02   1.05000E-02
   4.23272E+02   6.96422E+02   1.07500E-02
   4.15288E+02   6.88438E+02   1.10000E-02
   4.07299E+02   6.80449E+02   1.12500E-02
   3.99311E+02   6.72461E+02   1.15000E-02
   3.91316E+02   6.64466E+02   1.17500E-02
   3.83314E+02   6.56464E+02   1.20000E-02
   3.75302E+02   6.48452E+02   1.22500E-02
   3.67280E+02   6.40430E+02   1.25000E-02
   3.59247E+02   6.32397E+02   1.27500E-02
   3.51197E+02   6.24347E+02   1.30000E-02
   3.43134E+02   6.16284E+02   1.32500E-02
   3.35052E+02   6.08202E+02   1.35000E-02
   3.26950E+02   6.00100E+02   1.37500E-02
   3.18829E+02   5.91979E+02   1.40000E-02
   3.10685E+02   5.83835E+02   1.42500E-02
   3.02517E+02   5.75667E+02   1.45000E-02
   2.94321E+02   5.67471E+02   1.47500E-02
   2.86102E+02   5.59252E+02   1.50000E-02
   2.77851E+02   5.51001E+02   1.52500E-02
   2.69567E+02   5.42717E+02   1.55000E-02
   2.61254E+02   5.34404E+02   1.57500E-02
   2.52909E+02   5.26059E+02   1.60000E-02
   2.44525E+02   5.17675E+02   1.62500E-02
   2.36104E+02   5.09254E+02   1.65000E-02
   2.27642E+02   5.00792E+02   1.67500E-02
   2.19142E+02   4.92292E+02   1.70000E-02
   2.10595E+02   4.83745E+02   1.72500E-02
   2.02006E+02   4.75156E+02   1.75000E-02
   1.93369E+02   4.66519E+02   1.77500E-02
   1.84683E+02   4.57833E+02   1.80000E-02
   1.75943E+02   4.49093E+02   1.82500E-02
   1.67153E+02   4.40303E+02   1.85000E-02
   1.58306E+02   4.31456E+02   1.87500E-02
   1.49399E+02   4.22549E+02   1.90000E-02
   1.40430E+02   4.13580E+02   1.92500E-02
   1.31398E+02   4.04548E+02   1.95000E-02
   1.22303E+02   3.95453E+02   1.97500E-02
   1.13137E+02   3.86287E+02   2.00000E-02
   1.03894E+02   3.77044E+02   2.02500E-02
   9.45788E+01   3.67729E+02   2.05000E-02
   8.51844E+01   3.58334E+02   2.07500E-02
   7.57087E+01   3.48859E+02   2.10000E-02
   6.61420E+01   3.39292E+02   2.12500E-02
   5.64880E+01   3.29638E+02   2.15000E-02
   4.67362E+01   3.19886E+02   2.17500E-02
   3.68838E+01   3.10034E+02   2.20000E-02
   2.70315E+01   3.00181E+02   3.00000E-02
