W(C)	 T
.03	300.1815
.022	310.0338
.02175	319.8862
.0215	329.638
.02125	339.292
.021	348.8587
.02075	358.3344
.0205	367.7288
.02025	377.0443
.02	386.2866
.01975	395.4527
.0195	404.5483
.01925	413.5795
.019	422.549
.01875	431.4557
.0185	440.3029
.01825	449.0925
.018	457.8334
.01775	466.5187
.0175	475.1559
.01725	483.7452
.017	492.2921
.01675	500.7917
.0165	509.2544
.01625	517.6754
.016	526.0586
.01575	534.4041
.0155	542.717
.01525	551.0006
.015	559.2517
.01475	567.4705
.0145	575.6671
.01425	583.8349
.014	591.9794
.01375	600.1005
.0135	608.2021
.01325	616.2844
.013	624.3473
.01275	632.3973
.0125	640.4299
.01225	648.4522
.012	656.4644
.01175	664.4663
.0115	672.4613
.01125	680.4495
.011	688.4376
.01075	696.4221
.0105	704.4066
.01025	712.3947
.01	720.3865
.00975	728.3852
.0095	736.3941
.00925	744.4131
.009	752.4477
.00875	760.5016
.0085	768.5749
.00825	776.6677
.008	784.7924
.00775	792.9458
.0075	801.1315
.00725	809.3569
.007	817.6285
.00675	825.9464
.0065	834.3179
.00625	842.7487
.006	851.2482
.00575	859.8219
.0055	868.4772
.00525	877.2256
.005	886.0805
.00475	895.0502
.0045	904.1515
.00425	913.401
.004	922.824
.00375	932.4388
.0035	942.2804
.00325	952.3806
.003	962.7965
.003	962.7965
.00275	973.5847
.0025	984.8304
.00225	996.6454
.002	1009.213
.00175	1022.802
.0015	1037.899
.00125	1055.157
.001	1074.57
7.5E-04	1096.514
5E-04	1121.548
2.5E-04	1150.547
2.5E-10	1184.824
