T	 DT(BCC_A2,C)
800	4.406658E-10
790	4.121769E-10
780	3.850409E-10
770	3.59222E-10
760	3.346844E-10
750	3.113919E-10
740	2.893082E-10
730	2.683968E-10
720	2.486209E-10
710	2.299439E-10
700	2.123288E-10
690	1.95739E-10
680	1.801376E-10
670	1.65488E-10
660	1.517536E-10
650	1.388981E-10
640	1.268855E-10
630	1.156797E-10
620	1.052455E-10
610	9.554767E-11
600	8.655158E-11
590	7.822307E-11
580	7.052849E-11
570	6.343481E-11
560	5.69096E-11
550	5.092113E-11
540	4.543838E-11
530	4.043111E-11
520	3.586988E-11
510	3.172608E-11
500	2.797202E-11
490	2.458091E-11
480	2.152691E-11
470	1.878515E-11
460	1.633179E-11
450	1.414399E-11
440	1.219995E-11
430	1.047895E-11
420	8.961327E-12
410	7.628471E-12
400	6.462861E-12
