T	 DT(BCC_A2,C)
800	4.406965E-10
790	4.122057E-10
780	3.850677E-10
770	3.59247E-10
760	3.347077E-10
750	3.114136E-10
740	2.893284E-10
730	2.684155E-10
720	2.486383E-10
710	2.299599E-10
700	2.123437E-10
690	1.957527E-10
680	1.801502E-10
670	1.654996E-10
660	1.517642E-10
650	1.389079E-10
640	1.268943E-10
630	1.156878E-10
620	1.052529E-10
610	9.555434E-11
600	8.655762E-11
590	7.822853E-11
580	7.053342E-11
570	6.343924E-11
560	5.691357E-11
550	5.092468E-11
540	4.544155E-11
530	4.043393E-11
520	3.587238E-11
510	3.17283E-11
500	2.797397E-11
490	2.458263E-11
480	2.152841E-11
470	1.878646E-11
460	1.633293E-11
450	1.414497E-11
440	1.22008E-11
430	1.047969E-11
420	8.961952E-12
410	7.629003E-12
400	6.463312E-12
