T	 DT(FCC_A1,C)
800	1.938669E-12
790	1.664491E-12
780	1.424956E-12
770	1.216263E-12
760	1.034958E-12
750	8.779044E-13
740	7.422682E-13
730	6.254913E-13
720	5.252726E-13
710	4.395471E-13
700	3.664678E-13
690	3.043872E-13
680	2.518405E-13
670	2.075293E-13
660	1.703068E-13
650	1.391633E-13
640	1.13213E-13
630	9.168186E-14
620	7.389565E-14
610	5.926977E-14
600	4.729917E-14
590	3.754944E-14
580	2.964855E-14
570	2.327928E-14
560	1.817249E-14
550	1.410087E-14
540	1.087346E-14
530	8.330648E-15
520	6.339756E-15
510	4.791124E-15
500	3.594643E-15
490	2.676726E-15
480	1.97766E-15
470	1.449311E-15
460	1.053148E-15
450	7.585453E-16
440	5.41349E-16
430	3.826538E-16
420	2.677856E-16
410	1.854514E-16
400	1.270376E-16
