T	 DT(FCC_A1,C)
800	1.909394E-12
790	1.639044E-12
780	1.402899E-12
770	1.1972E-12
760	1.01853E-12
750	8.637922E-13
740	7.301832E-13
730	6.151761E-13
720	5.164974E-13
710	4.321078E-13
700	3.601835E-13
690	2.990982E-13
680	2.474059E-13
670	2.038257E-13
660	1.672262E-13
650	1.366115E-13
640	1.111085E-13
630	8.995382E-14
620	7.248332E-14
610	5.812095E-14
600	4.636931E-14
590	3.680064E-14
580	2.904872E-14
570	2.280143E-14
560	1.779395E-14
550	1.380277E-14
540	1.064013E-14
530	8.149174E-15
520	6.199536E-15
510	4.683516E-15
500	3.512647E-15
490	2.614705E-15
480	1.931106E-15
470	1.414645E-15
460	1.027547E-15
450	7.39803E-16
440	5.277507E-16
430	3.728801E-16
420	2.608296E-16
410	1.805512E-16
400	1.236225E-16
