W(N)	 T
2.983303E-04	1152.318
2.98062E-04	1152.338
2.980586E-04	1152.328
2.980586E-04	1152.328
2.980586E-04	1152.328
2.980586E-04	1152.328
2.980566E-04	1152.318
2.968149E-04	1152.368
2.944443E-04	1142.328
2.893702E-04	1132.328
2.868149E-04	1152.687
2.839073E-04	1122.328
2.80533E-04	1473.15
2.783571E-04	1112.328
2.77814E-04	1465.114
2.768149E-04	1153.002
2.745315E-04	1455.114
2.728123E-04	1102.328
2.713438E-04	1445.114
2.682345E-04	1435.114
2.673026E-04	1092.328
2.668149E-04	1153.309
2.65189E-04	1425.114
2.621947E-04	1415.114
2.618372E-04	1082.328
2.592404E-04	1405.114
2.568621E-04	1073.15
2.568149E-04	1153.605
2.563166E-04	1395.114
2.534151E-04	1385.114
2.50529E-04	1375.114
2.476523E-04	1365.114
2.468149E-04	1153.885
2.447802E-04	1355.114
2.419089E-04	1345.114
2.390352E-04	1335.114
2.368149E-04	1154.145
2.361567E-04	1325.114
2.332714E-04	1315.114
2.303781E-04	1305.114
2.27476E-04	1295.114
2.268149E-04	1154.383
2.245647E-04	1285.114
2.216439E-04	1275.114
2.187139E-04	1265.114
2.168149E-04	1154.598
2.157751E-04	1255.114
2.12828E-04	1245.114
2.098735E-04	1235.114
2.069124E-04	1225.114
2.068149E-04	1154.789
2.039457E-04	1215.114
2.009746E-04	1205.114
1.98E-04	1195.114
1.968149E-04	1154.957
1.950233E-04	1185.114
1.920455E-04	1175.114
1.890679E-04	1165.114
1.868249E-04	1155.104
1.860946E-04	1155.124
1.860916E-04	1155.114
1.860916E-04	1155.114
1.860916E-04	1155.114
1.860916E-04	1155.114
1.857969E-04	1155.124
1.777123E-04	1148.15
1.758069E-04	1155.462
1.72203E-04	1143.15
1.658069E-04	1155.797
1.622398E-04	1133.15
1.558069E-04	1156.128
1.533592E-04	1123.15
1.458069E-04	1156.453
1.452811E-04	1113.15
1.378203E-04	1103.15
1.358069E-04	1156.773
1.308514E-04	1093.15
1.3E-04	1156.956
1.2999E-04	1156.956
1.258069E-04	1157.088
1.242853E-04	1083.15
1.2E-04	1157.269
1.180629E-04	1073.16
1.180568E-04	1073.15
1.158069E-04	1157.399
1.1E-04	1157.578
1.058069E-04	1157.707
1E-04	1157.886
9.580689E-05	1158.014
9E-05	1158.192
8.580689E-05	1158.321
8E-05	1158.5
7.580689E-05	1158.628
7E-05	1158.807
7E-05	1158.807
7E-05	1158.807
6.999E-05	1158.808
6.999E-05	1158.808
6.580689E-05	1158.937
6E-05	1159.116
6E-05	1159.116
6E-05	1159.116
5.580689E-05	1159.246
5E-05	1159.427
5E-05	1159.427
5E-05	1159.427
4.580689E-05	1159.558
4E-05	1159.74
4E-05	1159.74
4E-05	1159.74
3.580689E-05	1159.872
3E-05	1160.055
3E-05	1160.055
3E-05	1160.055
2.580689E-05	1160.188
2E-05	1160.373
2E-05	1160.373
2E-05	1160.373
1.580689E-05	1160.508
1E-05	1160.694
1E-05	1160.694
1E-05	1160.694
1E-05	1160.694
1E-05	1160.694
9.99E-06	1160.694
9.99E-06	1160.694
5.806891E-06	1160.829
5E-06	1160.856
4.995E-06	1160.856
4.995E-06	1160.856
2.5E-06	1160.937
2.4975E-06	1160.937
2.4975E-06	1160.937
1.25E-06	1160.977
1.24875E-06	1160.977
1.24875E-06	1160.977
8.068911E-07	1160.991
6.25E-07	1160.997
6.24375E-07	1160.997
6.24375E-07	1160.997
3.125E-07	1161.007
3.121875E-07	1161.007
3.121875E-07	1161.007
1.818911E-07	1161.012
1.676866E-07	1161.012
1.5625E-07	1161.013
1.560937E-07	1161.013
1.560937E-07	1161.013
1.392775E-07	1161.013
8.245931E-08	1161.015
7.812506E-08	1161.015
7.804693E-08	1161.015
7.804693E-08	1161.015
7.729409E-08	1161.015
6.69636E-08	1161.015
6.508542E-08	1161.016
6.132897E-08	1161.016
5.381597E-08	1161.016
5.369194E-08	1161.016
5.344372E-08	1161.016
5.294714E-08	1161.016
5.285698E-08	1161.016
5.267651E-08	1161.016
5.267651E-08	1161.016
2.714096E-12	1161.018
2.714096E-12	1161.018
2.714096E-12	1161.018
2.714096E-12	1161.018
2.713867E-12	1161.018
2.713867E-12	1161.018
2.660301E-12	1161.018
2.660301E-12	1161.018
2.6603E-12	1161.018
2.6603E-12	1161.018
0	0
0	0
