
 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=T-C, col-2=GM(FCC_A1#1), col-3=GM(BCC_A2), col-4=GM(HCP_A3#1), col-5=GM1, col-6=GM2,
   7.26850E+02  -6.15213E+04  -6.12402E+04  -5.97732E+04   2.81055E+02   1.74802E+03
   7.26851E+02  -6.15213E+04  -6.12403E+04  -5.97733E+04   2.81056E+02   1.74802E+03
   7.36850E+02  -6.22929E+04  -6.20070E+04  -6.05326E+04   2.85951E+02   1.76031E+03
   7.46850E+02  -6.30678E+04  -6.27771E+04  -6.12952E+04   2.90763E+02   1.77261E+03
   7.56850E+02  -6.38460E+04  -6.35505E+04  -6.20611E+04   2.95492E+02   1.78490E+03
   7.66850E+02  -6.46273E+04  -6.43272E+04  -6.28301E+04   3.00138E+02   1.79720E+03
   7.76850E+02  -6.54118E+04  -6.51071E+04  -6.36023E+04   3.04701E+02   1.80949E+03
   7.86850E+02  -6.61995E+04  -6.58903E+04  -6.43777E+04   3.09181E+02   1.82179E+03
   7.96850E+02  -6.69903E+04  -6.66768E+04  -6.51563E+04   3.13579E+02   1.83409E+03
   8.06850E+02  -6.77843E+04  -6.74664E+04  -6.59379E+04   3.17894E+02   1.84638E+03
   8.16850E+02  -6.85813E+04  -6.82592E+04  -6.67226E+04   3.22127E+02   1.85868E+03
   8.26850E+02  -6.93814E+04  -6.90552E+04  -6.75105E+04   3.26277E+02   1.87098E+03
   8.36850E+02  -7.01846E+04  -6.98543E+04  -6.83013E+04   3.30345E+02   1.88327E+03
   8.46850E+02  -7.09908E+04  -7.06565E+04  -6.90952E+04   3.34330E+02   1.89557E+03
   8.56850E+02  -7.18001E+04  -7.14618E+04  -6.98922E+04   3.38233E+02   1.90787E+03
   8.66850E+02  -7.26123E+04  -7.22702E+04  -7.06921E+04   3.42053E+02   1.92017E+03
   8.76850E+02  -7.34275E+04  -7.30817E+04  -7.14951E+04   3.45791E+02   1.93247E+03
   8.86850E+02  -7.42457E+04  -7.38963E+04  -7.23009E+04   3.49445E+02   1.94476E+03
   8.96850E+02  -7.50668E+04  -7.47138E+04  -7.31098E+04   3.53017E+02   1.95706E+03
   9.06850E+02  -7.58909E+04  -7.55344E+04  -7.39216E+04   3.56505E+02   1.96936E+03
   9.16850E+02  -7.67179E+04  -7.63580E+04  -7.47362E+04   3.59909E+02   1.98166E+03
   9.26850E+02  -7.75478E+04  -7.71846E+04  -7.55538E+04   3.63230E+02   1.99396E+03
   9.36850E+02  -7.83806E+04  -7.80141E+04  -7.63743E+04   3.66467E+02   2.00626E+03
   9.46850E+02  -7.92162E+04  -7.88466E+04  -7.71976E+04   3.69620E+02   2.01856E+03
   9.56850E+02  -8.00547E+04  -7.96820E+04  -7.80238E+04   3.72688E+02   2.03086E+03
   9.66850E+02  -8.08960E+04  -8.05203E+04  -7.88528E+04   3.75671E+02   2.04316E+03
   9.76850E+02  -8.17401E+04  -8.13616E+04  -7.96847E+04   3.78570E+02   2.05546E+03
   9.86850E+02  -8.25871E+04  -8.22057E+04  -8.05193E+04   3.81383E+02   2.06776E+03
   9.96850E+02  -8.34368E+04  -8.30527E+04  -8.13568E+04   3.84111E+02   2.08006E+03
   1.00000E+03  -8.37051E+04  -8.33201E+04  -8.16211E+04   3.84953E+02   2.08393E+03

 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=T-C, col-2=GM(FCC_A1#1), col-3=GM(BCC_A2), col-4=GM(HCP_A3#1), col-5=GM1, col-6=GM2,
   7.26850E+02  -6.15213E+04  -6.12402E+04  -5.97732E+04   2.81055E+02   1.74802E+03
   7.26849E+02  -6.15212E+04  -6.12401E+04  -5.97732E+04   2.81055E+02   1.74802E+03
   7.20000E+02  -6.09946E+04  -6.07169E+04  -5.92550E+04   2.77653E+02   1.73960E+03
   7.10000E+02  -6.02284E+04  -5.99558E+04  -5.85011E+04   2.72615E+02   1.72731E+03
   7.00000E+02  -5.94656E+04  -5.91981E+04  -5.77506E+04   2.67492E+02   1.71501E+03
   6.90000E+02  -5.87061E+04  -5.84438E+04  -5.70034E+04   2.62283E+02   1.70272E+03
   6.80000E+02  -5.79500E+04  -5.76930E+04  -5.62596E+04   2.56988E+02   1.69043E+03
   6.70000E+02  -5.71972E+04  -5.69456E+04  -5.55191E+04   2.51605E+02   1.67814E+03
   6.60000E+02  -5.64479E+04  -5.62018E+04  -5.47821E+04   2.46135E+02   1.66585E+03
   6.50000E+02  -5.57020E+04  -5.54614E+04  -5.40485E+04   2.40575E+02   1.65356E+03
   6.40000E+02  -5.49596E+04  -5.47247E+04  -5.33183E+04   2.34925E+02   1.64127E+03
   6.30000E+02  -5.42207E+04  -5.39915E+04  -5.25917E+04   2.29182E+02   1.62898E+03
   6.20000E+02  -5.34852E+04  -5.32619E+04  -5.18686E+04   2.23347E+02   1.61669E+03
   6.10000E+02  -5.27534E+04  -5.25360E+04  -5.11490E+04   2.17416E+02   1.60441E+03
   6.00000E+02  -5.20251E+04  -5.18137E+04  -5.04330E+04   2.11388E+02   1.59212E+03
   5.90000E+02  -5.13004E+04  -5.10952E+04  -4.97206E+04   2.05261E+02   1.57984E+03
   5.80000E+02  -5.05794E+04  -5.03804E+04  -4.90119E+04   1.99032E+02   1.56755E+03
   5.70000E+02  -4.98621E+04  -4.96694E+04  -4.83068E+04   1.92699E+02   1.55527E+03
   5.60000E+02  -4.91484E+04  -4.89622E+04  -4.76054E+04   1.86258E+02   1.54299E+03
   5.50000E+02  -4.84385E+04  -4.82588E+04  -4.69078E+04   1.79707E+02   1.53071E+03
   5.40000E+02  -4.77324E+04  -4.75593E+04  -4.62139E+04   1.73041E+02   1.51843E+03
   5.30000E+02  -4.70300E+04  -4.68638E+04  -4.55239E+04   1.66257E+02   1.50615E+03
   5.20000E+02  -4.63316E+04  -4.61722E+04  -4.48377E+04   1.59350E+02   1.49388E+03
   5.10000E+02  -4.56370E+04  -4.54847E+04  -4.41554E+04   1.52314E+02   1.48160E+03
   5.00000E+02  -4.49463E+04  -4.48011E+04  -4.34770E+04   1.45145E+02   1.46933E+03
   4.90000E+02  -4.42596E+04  -4.41217E+04  -4.28025E+04   1.37836E+02   1.45706E+03
   4.80000E+02  -4.35768E+04  -4.34465E+04  -4.21320E+04   1.30380E+02   1.44480E+03
   4.70000E+02  -4.28981E+04  -4.27754E+04  -4.14656E+04   1.22769E+02   1.43253E+03
   4.60000E+02  -4.22235E+04  -4.21085E+04  -4.08033E+04   1.14995E+02   1.42027E+03
   4.50000E+02  -4.15530E+04  -4.14460E+04  -4.01450E+04   1.07048E+02   1.40801E+03
   4.40000E+02  -4.08867E+04  -4.07878E+04  -3.94910E+04   9.89167E+01   1.39575E+03
   4.30000E+02  -4.02246E+04  -4.01340E+04  -3.88411E+04   9.05900E+01   1.38350E+03
   4.20000E+02  -3.95668E+04  -3.94847E+04  -3.81955E+04   8.20543E+01   1.37125E+03
   4.10000E+02  -3.89132E+04  -3.88399E+04  -3.75542E+04   7.32946E+01   1.35900E+03
   4.00000E+02  -3.82640E+04  -3.81997E+04  -3.69172E+04   6.42943E+01   1.34676E+03
   3.90000E+02  -3.76192E+04  -3.75642E+04  -3.62847E+04   5.50345E+01   1.33453E+03
   3.80000E+02  -3.69789E+04  -3.69334E+04  -3.56566E+04   4.54941E+01   1.32229E+03
   3.70000E+02  -3.63430E+04  -3.63074E+04  -3.50330E+04   3.56495E+01   1.31007E+03
   3.60000E+02  -3.57118E+04  -3.56863E+04  -3.44139E+04   2.54737E+01   1.29785E+03
   3.50000E+02  -3.50852E+04  -3.50702E+04  -3.37995E+04   1.49364E+01   1.28564E+03
   3.40000E+02  -3.44632E+04  -3.44592E+04  -3.31898E+04   4.00312E+00   1.27343E+03
   3.30000E+02  -3.38460E+04  -3.38534E+04  -3.25848E+04  -7.36546E+00   1.26123E+03
   3.20000E+02  -3.32336E+04  -3.32528E+04  -3.19845E+04  -1.92143E+01   1.24905E+03
   3.10000E+02  -3.26260E+04  -3.26576E+04  -3.13892E+04  -3.15953E+01   1.23687E+03
   3.00000E+02  -3.20234E+04  -3.20680E+04  -3.07987E+04  -4.45681E+01   1.22470E+03
   2.90000E+02  -3.14258E+04  -3.14840E+04  -3.02133E+04  -5.82025E+01   1.21255E+03
   2.80000E+02  -3.08333E+04  -3.09059E+04  -2.96329E+04  -7.25804E+01   1.20041E+03
   2.70000E+02  -3.02459E+04  -3.03337E+04  -2.90577E+04  -8.77989E+01   1.18828E+03
   2.60000E+02  -2.96638E+04  -2.97678E+04  -2.84876E+04  -1.03974E+02   1.17618E+03
   2.50000E+02  -2.90870E+04  -2.92082E+04  -2.79229E+04  -1.21249E+02   1.16409E+03
   2.40000E+02  -2.85155E+04  -2.86553E+04  -2.73635E+04  -1.39798E+02   1.15202E+03
   2.30000E+02  -2.79496E+04  -2.81094E+04  -2.68096E+04  -1.59844E+02   1.13998E+03
   2.20000E+02  -2.73892E+04  -2.75708E+04  -2.62612E+04  -1.81675E+02   1.12796E+03
   2.10000E+02  -2.68344E+04  -2.70401E+04  -2.57185E+04  -2.05691E+02   1.11598E+03
   2.00000E+02  -2.62854E+04  -2.65183E+04  -2.51814E+04  -2.32878E+02   1.10403E+03
   1.90000E+02  -2.57423E+04  -2.60057E+04  -2.46502E+04  -2.63361E+02   1.09212E+03
   1.80000E+02  -2.52052E+04  -2.55020E+04  -2.41249E+04  -2.96837E+02   1.08025E+03
   1.70000E+02  -2.46741E+04  -2.50071E+04  -2.36056E+04  -3.33040E+02   1.06844E+03
   1.60000E+02  -2.41492E+04  -2.45209E+04  -2.30925E+04  -3.71735E+02   1.05668E+03
   1.50000E+02  -2.36306E+04  -2.40433E+04  -2.25856E+04  -4.12712E+02   1.04499E+03
   1.40000E+02  -2.31184E+04  -2.35742E+04  -2.20851E+04  -4.55782E+02   1.03337E+03
   1.30000E+02  -2.26128E+04  -2.31136E+04  -2.15910E+04  -5.00770E+02   1.02185E+03
   1.20000E+02  -2.21140E+04  -2.26615E+04  -2.11036E+04  -5.47518E+02   1.01043E+03
   1.10000E+02  -2.16220E+04  -2.22179E+04  -2.06229E+04  -5.95873E+02   9.99128E+02
   1.00000E+02  -2.11370E+04  -2.17827E+04  -2.01490E+04  -6.45692E+02   9.87968E+02
   9.00000E+01  -2.06592E+04  -2.13561E+04  -1.96823E+04  -6.96834E+02   9.76973E+02
   8.00000E+01  -2.01888E+04  -2.09380E+04  -1.92226E+04  -7.49164E+02   9.66174E+02
   7.00000E+01  -1.97260E+04  -2.05285E+04  -1.87704E+04  -8.02543E+02   9.55607E+02
   6.00000E+01  -1.92709E+04  -2.01278E+04  -1.83256E+04  -8.56830E+02   9.45318E+02
   5.00000E+01  -1.88239E+04  -1.97358E+04  -1.78886E+04  -9.11875E+02   9.35364E+02
   4.00000E+01  -1.83852E+04  -1.93527E+04  -1.74593E+04  -9.67518E+02   9.25820E+02
   3.00000E+01  -1.79550E+04  -1.89785E+04  -1.70382E+04  -1.02358E+03   9.16781E+02
   2.00000E+01  -1.75337E+04  -1.86135E+04  -1.66253E+04  -1.07985E+03   9.08375E+02
   1.00000E+01  -1.71216E+04  -1.82577E+04  -1.62209E+04  -1.13607E+03   9.00784E+02
   1.00044E-11  -1.67194E+04  -1.79113E+04  -1.58251E+04  -1.19189E+03   8.94272E+02
