
 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=T-C, col-2=HM(FCC_A1#1), col-3=HM(BCC_A2), col-4=HM(HCP_A3#1), col-5=HM1, col-6=HM2,
   7.26850E+02   1.54818E+04   1.52691E+04   1.60005E+04  -2.12742E+02   5.18642E+02
   7.26851E+02   1.54819E+04   1.52691E+04   1.60005E+04  -2.12742E+02   5.18642E+02
   7.36850E+02   1.58094E+04   1.56051E+04   1.63280E+04  -2.04308E+02   5.18599E+02
   7.46850E+02   1.61380E+04   1.59421E+04   1.66565E+04  -1.95828E+02   5.18558E+02
   7.56850E+02   1.64674E+04   1.62801E+04   1.69859E+04  -1.87297E+02   5.18519E+02
   7.66850E+02   1.67978E+04   1.66191E+04   1.73163E+04  -1.78710E+02   5.18482E+02
   7.76850E+02   1.71291E+04   1.69591E+04   1.76476E+04  -1.70061E+02   5.18447E+02
   7.86850E+02   1.74614E+04   1.73001E+04   1.79798E+04  -1.61345E+02   5.18413E+02
   7.96850E+02   1.77946E+04   1.76420E+04   1.83130E+04  -1.52558E+02   5.18381E+02
   8.06850E+02   1.81287E+04   1.79851E+04   1.86471E+04  -1.43696E+02   5.18350E+02
   8.16850E+02   1.84638E+04   1.83291E+04   1.89821E+04  -1.34754E+02   5.18321E+02
   8.26850E+02   1.87998E+04   1.86741E+04   1.93181E+04  -1.25730E+02   5.18293E+02
   8.36850E+02   1.91368E+04   1.90202E+04   1.96551E+04  -1.16618E+02   5.18266E+02
   8.46850E+02   1.94747E+04   1.93673E+04   1.99929E+04  -1.07417E+02   5.18241E+02
   8.56850E+02   1.98135E+04   1.97154E+04   2.03318E+04  -9.81230E+01   5.18216E+02
   8.66850E+02   2.01533E+04   2.00646E+04   2.06715E+04  -8.87329E+01   5.18193E+02
   8.76850E+02   2.04940E+04   2.04148E+04   2.10122E+04  -7.92441E+01   5.18171E+02
   8.86850E+02   2.08357E+04   2.07660E+04   2.13538E+04  -6.96542E+01   5.18149E+02
   8.96850E+02   2.11783E+04   2.11183E+04   2.16964E+04  -5.99606E+01   5.18129E+02
   9.06850E+02   2.15219E+04   2.14717E+04   2.20400E+04  -5.01612E+01   5.18109E+02
   9.16850E+02   2.18664E+04   2.18261E+04   2.23844E+04  -4.02537E+01   5.18090E+02
   9.26850E+02   2.22118E+04   2.21816E+04   2.27299E+04  -3.02362E+01   5.18072E+02
   9.36850E+02   2.25582E+04   2.25381E+04   2.30762E+04  -2.01068E+01   5.18055E+02
   9.46850E+02   2.29055E+04   2.28957E+04   2.34236E+04  -9.86361E+00   5.18038E+02
   9.56850E+02   2.32538E+04   2.32543E+04   2.37718E+04   4.95012E-01   5.18022E+02
   9.66850E+02   2.36030E+04   2.36140E+04   2.41211E+04   1.09707E+01   5.18007E+02
   9.76850E+02   2.39532E+04   2.39748E+04   2.44712E+04   2.15649E+01   5.17992E+02
   9.86850E+02   2.43044E+04   2.43367E+04   2.48223E+04   3.22790E+01   5.17978E+02
   9.96850E+02   2.46565E+04   2.46996E+04   2.51744E+04   4.31146E+01   5.17964E+02
   1.00000E+03   2.47676E+04   2.48141E+04   2.52855E+04   4.65531E+01   5.17960E+02

 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=T-C, col-2=HM(FCC_A1#1), col-3=HM(BCC_A2), col-4=HM(HCP_A3#1), col-5=HM1, col-6=HM2,
   7.26850E+02   1.54818E+04   1.52691E+04   1.60005E+04  -2.12742E+02   5.18642E+02
   7.26849E+02   1.54818E+04   1.52691E+04   1.60005E+04  -2.12743E+02   5.18642E+02
   7.20000E+02   1.52580E+04   1.50395E+04   1.57767E+04  -2.18498E+02   5.18673E+02
   7.10000E+02   1.49320E+04   1.47051E+04   1.54507E+04  -2.26871E+02   5.18720E+02
   7.00000E+02   1.46069E+04   1.43717E+04   1.51257E+04  -2.35218E+02   5.18769E+02
   6.90000E+02   1.42827E+04   1.40392E+04   1.48016E+04  -2.43546E+02   5.18821E+02
   6.80000E+02   1.39595E+04   1.37077E+04   1.44784E+04  -2.51863E+02   5.18875E+02
   6.70000E+02   1.36373E+04   1.33771E+04   1.41562E+04  -2.60178E+02   5.18933E+02
   6.60000E+02   1.33159E+04   1.30474E+04   1.38349E+04  -2.68501E+02   5.18993E+02
   6.50000E+02   1.29955E+04   1.27186E+04   1.35145E+04  -2.76842E+02   5.19057E+02
   6.40000E+02   1.26760E+04   1.23908E+04   1.31951E+04  -2.85212E+02   5.19124E+02
   6.30000E+02   1.23575E+04   1.20638E+04   1.28767E+04  -2.93623E+02   5.19196E+02
   6.20000E+02   1.20398E+04   1.17378E+04   1.25591E+04  -3.02089E+02   5.19271E+02
   6.10000E+02   1.17232E+04   1.14125E+04   1.22425E+04  -3.10624E+02   5.19351E+02
   6.00000E+02   1.14074E+04   1.10882E+04   1.19268E+04  -3.19242E+02   5.19435E+02
   5.90000E+02   1.10926E+04   1.07646E+04   1.16121E+04  -3.27960E+02   5.19524E+02
   5.80000E+02   1.07787E+04   1.04419E+04   1.12983E+04  -3.36796E+02   5.19619E+02
   5.70000E+02   1.04657E+04   1.01200E+04   1.09855E+04  -3.45769E+02   5.19719E+02
   5.60000E+02   1.01537E+04   9.79883E+03   1.06736E+04  -3.54901E+02   5.19825E+02
   5.50000E+02   9.84265E+03   9.47843E+03   1.03626E+04  -3.64214E+02   5.19938E+02
   5.40000E+02   9.53250E+03   9.15876E+03   1.00526E+04  -3.73734E+02   5.20058E+02
   5.30000E+02   9.22328E+03   8.83980E+03   9.74347E+03  -3.83487E+02   5.20186E+02
   5.20000E+02   8.91501E+03   8.52150E+03   9.43533E+03  -3.93504E+02   5.20322E+02
   5.10000E+02   8.60767E+03   8.20385E+03   9.12813E+03  -4.03816E+02   5.20467E+02
   5.00000E+02   8.30126E+03   7.88680E+03   8.82188E+03  -4.14461E+02   5.20621E+02
   4.90000E+02   7.99580E+03   7.57032E+03   8.51658E+03  -4.25475E+02   5.20785E+02
   4.80000E+02   7.69127E+03   7.25437E+03   8.21223E+03  -4.36904E+02   5.20961E+02
   4.70000E+02   7.38769E+03   6.93889E+03   7.90883E+03  -4.48793E+02   5.21149E+02
   4.60000E+02   7.08504E+03   6.62385E+03   7.60639E+03  -4.61195E+02   5.21350E+02
   4.50000E+02   6.78334E+03   6.30917E+03   7.30490E+03  -4.74167E+02   5.21564E+02
   4.40000E+02   6.48258E+03   5.99481E+03   7.00437E+03  -4.87773E+02   5.21795E+02
   4.30000E+02   6.18277E+03   5.68068E+03   6.70481E+03  -5.02084E+02   5.22042E+02
   4.20000E+02   5.88390E+03   5.36672E+03   6.40621E+03  -5.17177E+02   5.22307E+02
   4.10000E+02   5.58598E+03   5.05284E+03   6.10857E+03  -5.33141E+02   5.22592E+02
   4.00000E+02   5.28901E+03   4.73894E+03   5.81191E+03  -5.50074E+02   5.22899E+02
   3.90000E+02   4.99299E+03   4.42491E+03   5.51622E+03  -5.68084E+02   5.23229E+02
   3.80000E+02   4.69793E+03   4.11063E+03   5.22151E+03  -5.87297E+02   5.23586E+02
   3.70000E+02   4.40382E+03   3.79597E+03   4.92779E+03  -6.07852E+02   5.23970E+02
   3.60000E+02   4.11067E+03   3.48076E+03   4.63505E+03  -6.29910E+02   5.24386E+02
   3.50000E+02   3.81847E+03   3.16482E+03   4.34331E+03  -6.53651E+02   5.24836E+02
   3.40000E+02   3.52724E+03   2.84795E+03   4.05256E+03  -6.79288E+02   5.25323E+02
   3.30000E+02   3.23697E+03   2.52991E+03   3.76282E+03  -7.07062E+02   5.25852E+02
   3.20000E+02   2.94767E+03   2.21041E+03   3.47410E+03  -7.37261E+02   5.26427E+02
   3.10000E+02   2.65933E+03   1.88911E+03   3.18639E+03  -7.70221E+02   5.27052E+02
   3.00000E+02   2.37197E+03   1.56562E+03   2.89970E+03  -8.06346E+02   5.27733E+02
   2.90000E+02   2.08557E+03   1.23945E+03   2.61405E+03  -8.46126E+02   5.28476E+02
   2.80000E+02   1.80015E+03   9.09986E+02   2.32944E+03  -8.90167E+02   5.29289E+02
   2.70000E+02   1.51571E+03   5.76480E+02   2.04589E+03  -9.39227E+02   5.30178E+02
   2.60000E+02   1.23224E+03   2.37959E+02   1.76339E+03  -9.94280E+02   5.31153E+02
   2.50000E+02   9.49748E+02  -1.06855E+02   1.48197E+03  -1.05660E+03   5.32224E+02
   2.40000E+02   6.68236E+02  -4.59683E+02   1.20164E+03  -1.12792E+03   5.33402E+02
   2.30000E+02   3.87702E+02  -8.22909E+02   9.22404E+02  -1.21061E+03   5.34701E+02
   2.20000E+02   1.08146E+02  -1.19993E+03   6.44283E+02  -1.30808E+03   5.36137E+02
   2.10000E+02  -1.70434E+02  -1.60460E+03   3.67291E+02  -1.43417E+03   5.37725E+02
   2.00000E+02  -4.48042E+02  -2.04783E+03   9.14453E+01  -1.59979E+03   5.39487E+02
   1.90000E+02  -7.24682E+02  -2.47138E+03  -1.83235E+02  -1.74669E+03   5.41446E+02
   1.80000E+02  -1.00036E+03  -2.87783E+03  -4.56731E+02  -1.87747E+03   5.43630E+02
   1.70000E+02  -1.27509E+03  -3.26931E+03  -7.29020E+02  -1.99422E+03   5.46068E+02
   1.60000E+02  -1.54888E+03  -3.64754E+03  -1.00008E+03  -2.09866E+03   5.48800E+02
   1.50000E+02  -1.82174E+03  -4.01394E+03  -1.26988E+03  -2.19220E+03   5.51868E+02
   1.40000E+02  -2.09371E+03  -4.36970E+03  -1.53839E+03  -2.27599E+03   5.55323E+02
   1.30000E+02  -2.36481E+03  -4.71579E+03  -1.80558E+03  -2.35099E+03   5.59227E+02
   1.20000E+02  -2.63507E+03  -5.05303E+03  -2.07142E+03  -2.41796E+03   5.63654E+02
   1.10000E+02  -2.90455E+03  -5.38209E+03  -2.33586E+03  -2.47754E+03   5.68690E+02
   1.00000E+02  -3.17331E+03  -5.70355E+03  -2.59887E+03  -2.53024E+03   5.74442E+02
   9.00000E+01  -3.44143E+03  -6.01790E+03  -2.86039E+03  -2.57647E+03   5.81042E+02
   8.00000E+01  -3.70903E+03  -6.32556E+03  -3.12038E+03  -2.61653E+03   5.88651E+02
   7.00000E+01  -3.97624E+03  -6.62687E+03  -3.37877E+03  -2.65063E+03   5.97473E+02
   6.00000E+01  -4.24326E+03  -6.92214E+03  -3.63549E+03  -2.67887E+03   6.07769E+02
   5.00000E+01  -4.51037E+03  -7.21160E+03  -3.89049E+03  -2.70123E+03   6.19882E+02
