T	 HM(FCC_A1#1)
1273.15	24767.56
1270	24656.46
1260	24304.37
1250	23953.24
1240	23603.05
1230	23253.81
1220	22905.53
1210	22558.19
1200	22211.8
1190	21866.36
1180	21521.86
1170	21178.31
1160	20835.7
1150	20494.04
1140	20153.31
1130	19813.53
1120	19474.7
1110	19136.8
1100	18799.84
1090	18463.83
1080	18128.75
1070	17794.61
1060	17461.4
1050	17129.14
1040	16797.81
1030	16467.41
1020	16137.96
1010	15809.43
1000.001	15481.88
1000	15481.84
1000	15481.84
999.999	15481.81
993.15	15257.99
983.15	14931.97
973.15	14606.89
963.15	14282.75
953.15	13959.53
943.15	13637.25
933.15	13315.9
923.15	12995.49
913.15	12676.01
903.15	12357.46
893.15	12039.84
883.15	11723.16
873.15	11407.4
863.15	11092.59
853.15	10778.7
843.15	10465.75
833.15	10153.73
823.15	9842.647
813.15	9532.498
803.15	9223.285
793.15	8915.007
783.15	8607.666
773.15	8301.263
763.15	7995.797
753.15	7691.271
743.15	7387.685
733.15	7085.04
723.15	6783.338
713.15	6482.579
703.15	6182.766
693.15	5883.898
683.15	5585.979
673.15	5289.01
663.15	4992.992
653.15	4697.928
643.15	4403.818
633.15	4110.666
623.15	3818.473
613.15	3527.241
603.15	3236.972
593.15	2947.669
583.15	2659.333
573.15	2371.968
563.15	2085.573
553.15	1800.153
543.15	1515.707
533.15	1232.239
523.15	949.7484
513.15	668.2361
503.15	387.7023
493.15	108.1461
483.15	-170.4343
473.15	-448.042
463.15	-724.6819
453.15	-1000.361
443.15	-1275.088
433.15	-1548.876
423.15	-1821.743
413.15	-2093.71
403.15	-2364.806
393.15	-2635.07
383.15	-2904.55
373.15	-3173.309
363.15	-3441.432
353.15	-3709.027
343.15	-3976.239
333.15	-4243.264
323.15	-4510.372
313.15	-4777.945
303.15	-5046.55
293.15	-5317.061
283.15	-5590.932
273.15	-5870.756
