W(MN)	 HM(FCC_A1#1)
.19999	7753.052
.1991213	7763.382
.1981213	7775.242
.1971213	7787.068
.1961213	7798.861
.1951213	7810.623
.1941213	7822.354
.1931213	7834.055
.1921213	7845.726
.1911213	7857.369
.1901213	7868.984
.1891213	7880.571
.1881213	7892.132
.1871213	7903.666
.1861213	7915.175
.1851213	7926.659
.1841213	7938.119
.1831213	7949.555
.1821213	7960.968
.1811213	7972.358
.1801213	7983.725
.1791213	7995.071
.1781213	8006.396
.1771213	8017.699
.1761213	8028.982
.1751213	8040.245
.1741213	8051.489
.1731213	8062.713
.1721213	8073.918
.1711213	8085.104
.1701213	8096.273
.1691213	8107.423
.1681213	8118.556
.1671213	8129.672
.1661213	8140.771
.1651213	8151.853
.1641213	8162.919
.1631213	8173.969
.1621213	8185.003
.1611213	8196.022
.1601213	8207.026
.1591213	8218.015
.1581213	8228.988
.1571213	8239.948
.1561213	8250.893
.1551213	8261.824
.1541213	8272.742
.1531213	8283.646
.1521213	8294.536
.1511213	8305.414
.1501213	8316.278
.1491213	8327.13
.1481213	8337.97
.1471213	8348.797
.1461213	8359.612
.1451213	8370.415
.1441213	8381.206
.1431213	8391.986
.1421213	8402.754
.1411213	8413.511
.1401213	8424.257
.1391213	8434.993
.1381213	8445.717
.1371213	8456.432
.1361213	8467.136
.1351213	8477.829
.1341213	8488.513
.1331213	8499.187
.1321213	8509.852
.1311213	8520.507
.1301213	8531.152
.1291213	8541.789
.1281213	8552.417
.1271213	8563.036
.1261213	8573.646
.1251213	8584.248
.1241213	8594.842
.1231213	8605.427
.1221213	8616.005
.1211213	8626.575
.1201213	8637.138
.1191213	8647.693
.1181213	8658.241
.1171213	8668.782
.1161213	8679.316
.1151213	8689.844
.1141213	8700.365
.1131213	8710.879
.1121213	8721.388
.1111213	8731.891
.1101213	8742.388
.1091213	8752.879
.1081213	8763.365
.1071213	8773.846
.1061213	8784.322
.1051213	8794.793
.1041213	8805.26
.1031213	8815.722
.1021213	8826.18
.1011213	8836.634
.1001213	8847.085
.09912134	8857.531
.09812134	8867.975
.09712134	8878.415
.09612134	8888.852
.09512134	8899.286
.09412134	8909.718
.09312134	8920.148
.09212134	8930.575
.09112134	8941.001
.09012134	8951.425
.08912134	8961.847
.08812134	8972.269
.08712134	8982.689
.08612134	8993.108
.08512134	9003.527
.08412134	9013.946
.08312134	9024.364
.08212134	9034.783
.08112134	9045.202
.08012134	9055.621
.07912134	9066.042
.07812134	9076.463
.07712134	9086.886
.07612134	9097.31
.07512134	9107.736
.07412134	9118.164
.07312134	9128.594
.07212134	9139.027
.07112134	9149.462
.07012134	9159.901
.06912134	9170.342
.06812134	9180.787
.06712134	9191.236
.06612134	9201.689
.06512134	9212.145
.06412134	9222.607
.06312134	9233.072
.06212134	9243.543
.06112134	9254.019
.06012134	9264.5
.05912134	9274.987
.05812134	9285.48
.05712134	9295.979
.05612134	9306.484
.05512134	9316.996
.05412134	9327.515
.05312134	9338.04
.05212134	9348.573
.05112134	9359.114
.05012134	9369.662
.04912134	9380.219
.04812134	9390.784
.04712134	9401.357
.04612134	9411.939
.04512134	9422.53
.04412134	9433.13
.04312134	9443.739
.04212134	9454.359
.04112134	9464.988
.04012134	9475.627
.03912134	9486.276
.03812134	9496.936
.03712134	9507.607
.03612134	9518.289
.03512134	9528.982
.03412134	9539.686
.03312134	9550.403
.03212134	9561.131
.03112134	9571.87
.03012134	9582.623
.02912134	9593.387
.02812134	9604.164
.02712134	9614.954
.02612134	9625.758
.02512134	9636.574
.02412134	9647.404
.02312134	9658.247
.02212134	9669.104
.02112134	9679.975
.02012134	9690.86
.01912134	9701.76
.01812134	9712.673
.01712134	9723.602
.01612134	9734.545
.01512134	9745.503
.01412134	9756.476
.01312134	9767.465
.01212134	9778.469
.01112134	9789.488
.01012134	9800.523
.009121337	9811.574
.008121337	9822.64
.007121337	9833.723
.006121337	9844.822
.005121337	9855.937
.005121337	9855.937
.004121337	9867.069
.003121337	9878.217
.002121337	9889.382
.001121337	9900.563
1.213372E-04	9911.761
1.1E-04	9911.888
