T	 HM(FCC_A1#1)
1500	44650.43
1499.999	44650.39
1490	44269.65
1480	43890.04
1470	43511.57
1460	43134.25
1450	42758.07
1440	42383.03
1430	42009.13
1420	41636.36
1410	41264.71
1400	40894.19
1390	40524.8
1380	40156.52
1370	39789.35
1360	39423.3
1350	39058.35
1340	38694.51
1330	38331.76
1320	37970.12
1310	37609.56
1300	37250.1
1290	36891.72
1280	36534.42
1270	36178.2
1260	35823.06
1250	35468.99
1240	35115.99
1230	34764.05
1220	34413.18
1210	34063.36
1200	33714.6
1190	33366.89
1180	33020.23
1170	32674.61
1160	32330.04
1150	31986.5
1140	31644
1130	31302.53
1120	30962.1
1110	30622.68
1100	30284.29
1090	29946.92
1080	29610.56
1070	29275.22
1060	28940.89
1050	28607.56
1040	28275.24
1030	27943.92
1020	27613.6
1010	27284.27
1000	26955.94
990	26628.59
980	26302.23
970	25976.86
960	25652.46
950	25329.05
940	25006.61
930	24685.14
920	24364.65
910	24045.12
900	23726.56
890	23408.96
880	23092.32
870	22776.64
860	22461.91
850	22148.14
840	21835.32
830	21523.44
820	21212.52
810	20902.54
800	20593.5
790	20285.41
780	19978.25
770	19672.03
760	19366.75
750	19062.41
740	18758.99
730	18456.51
720	18154.97
710	17854.35
700	17554.67
690	17255.91
680	16958.08
670	16661.18
660	16365.21
650	16070.16
640	15776.05
630	15482.86
620	15190.6
610	14899.27
600	14608.87
590	14319.4
580	14030.87
570	13743.26
560	13456.59
550	13170.86
540	12886.06
530	12602.2
520	12319.29
510	12037.31
500	11756.28
490	11476.19
480	11197.05
470	10918.86
460	10641.61
450	10365.3
440	10089.94
430	9815.511
420	9542.017
410	9269.447
400	8997.787
390	8727.02
380	8457.122
370	8188.061
360	7919.795
350	7652.267
340	7385.401
330	7119.095
320	6853.21
310	6587.559
300	6321.876
290	6055.783
280	5788.717
270	5519.794
260	5247.535
250	4969.233
240	4666.774
230	4310.582
220	3981.749
210	3674.803
200	3386.219
190	3113.784
180	2856.193
170	2612.832
160	2383.653
150	2169.15
140	1970.407
130	1789.222
120	1628.348
110	1491.896
100	1386.025
