W(C)	 HM(FCC_A1#1)
.006401075	16346.78
.006401075	16346.78
.006391075	16345.33
.006381075	16343.88
.006371075	16342.43
.006361075	16340.97
.006351075	16339.52
.006341075	16338.07
.006331075	16336.62
.006321075	16335.17
.006311075	16333.72
.006301075	16332.26
.006291075	16330.81
.006281075	16329.36
.006271075	16327.91
.006261075	16326.46
.006251075	16325.01
.006241075	16323.56
.006231075	16322.11
.006221075	16320.65
.006211075	16319.2
.006201075	16317.75
.006191075	16316.3
.006181075	16314.85
.006171075	16313.4
.006161075	16311.95
.006151075	16310.5
.006141075	16309.05
.006131075	16307.6
.006121075	16306.15
.006111075	16304.7
.006101075	16303.25
.006091075	16301.8
.006081075	16300.35
.006071075	16298.9
.006061075	16297.45
.006051075	16295.99
.006041075	16294.55
.006031075	16293.09
.006021075	16291.64
.006011075	16290.2
.006001075	16288.75
.005991075	16287.3
.005981075	16285.85
.005971075	16284.4
.005961075	16282.94
.005951075	16281.5
.005941075	16280.05
.005931075	16278.6
.005921075	16277.15
.005911075	16275.7
.005901075	16274.25
.005891075	16272.8
.005881075	16271.35
.005871075	16269.9
.005861075	16268.45
.005851075	16267
.005841075	16265.55
.005831075	16264.1
.005821075	16262.65
.005811075	16261.2
.005801075	16259.76
.005791075	16258.31
.005781075	16256.86
.005771075	16255.41
.005761075	16253.96
.005751075	16252.51
.005741075	16251.06
.005731075	16249.61
.005721075	16248.16
.005711075	16246.72
.005701075	16245.27
.005691075	16243.82
.005681075	16242.37
.005671075	16240.92
.005661075	16239.47
.005651075	16238.02
.005641075	16236.58
.005631075	16235.13
.005621075	16233.68
.005611075	16232.23
.005601075	16230.78
.005591075	16229.34
.005581075	16227.89
.005571075	16226.44
.005561075	16224.99
.005551075	16223.54
.005541075	16222.09
.005531075	16220.65
.005521075	16219.2
.005511075	16217.75
.005501075	16216.3
.005491075	16214.86
.005481075	16213.41
.005471075	16211.96
.005461075	16210.51
.005451075	16209.07
.005441075	16207.62
.005431075	16206.17
.005421075	16204.72
.005411075	16203.28
.005401075	16201.83
.005391075	16200.38
.005381075	16198.93
.005371075	16197.49
.005361075	16196.04
.005351075	16194.59
.005341075	16193.15
.005331075	16191.7
.005321075	16190.25
.005311075	16188.81
.005301075	16187.36
.005291075	16185.91
.005281075	16184.47
.005271075	16183.02
.005261075	16181.57
.005251075	16180.13
.005241075	16178.68
.005231075	16177.23
.005221075	16175.79
.005211075	16174.34
.005201075	16172.9
.005191075	16171.45
.005181075	16170
.005171075	16168.56
.005161075	16167.11
.005151075	16165.66
.005141075	16164.22
.005131075	16162.77
.005121075	16161.33
.005111075	16159.88
.005101075	16158.43
.005091075	16156.99
.005081075	16155.54
.005071075	16154.1
.005061075	16152.65
.005051075	16151.2
.005041075	16149.76
.005031075	16148.31
.005021075	16146.87
.005011075	16145.42
.005001075	16143.98
.004991075	16142.53
.004981075	16141.09
.004971075	16139.64
.004961075	16138.2
.004951075	16136.75
.004941075	16135.31
.004931075	16133.86
.004921075	16132.42
.004911075	16130.97
.004901075	16129.53
.004891075	16128.08
.004881075	16126.64
.004871075	16125.19
.004861075	16123.75
.004851075	16122.3
.004841075	16120.86
.004831075	16119.41
.004821075	16117.97
.004811075	16116.52
.004801075	16115.08
.004791075	16113.64
.004781075	16112.19
.004771075	16110.75
.004761075	16109.3
.004751075	16107.86
.004741075	16106.41
.004731075	16104.97
.004721075	16103.52
.004711075	16102.08
.004701075	16100.64
.004691075	16099.19
.004681075	16097.75
.004671075	16096.31
.004661075	16094.86
.004651075	16093.42
.004641075	16091.97
.004631075	16090.53
.004621075	16089.09
.004611075	16087.64
.004601075	16086.2
.004591075	16084.76
.004581075	16083.31
.004571075	16081.87
.004561075	16080.43
.004551075	16078.98
.004541075	16077.54
.004531075	16076.1
.004521075	16074.65
.004511075	16073.21
.004501075	16071.77
.004491075	16070.32
.004481075	16068.88
.004471075	16067.44
.004461075	16065.99
.004451075	16064.55
.004441075	16063.11
.004431075	16061.67
.004421075	16060.22
.004411075	16058.78
.004401075	16057.34
.004391075	16055.9
.004381075	16054.45
.004371075	16053.01
.004361075	16051.57
.004351075	16050.12
.004341075	16048.68
.004331075	16047.24
.004321075	16045.8
.004311075	16044.36
.004301075	16042.91
.004291075	16041.47
.004281075	16040.03
.004271075	16038.59
.004261075	16037.15
.004251075	16035.7
.004241075	16034.26
.004231075	16032.82
.004221075	16031.38
.004211075	16029.94
.004201075	16028.49
.004191075	16027.05
.004181075	16025.61
.004171075	16024.17
.004161075	16022.73
.004151075	16021.29
.004141075	16019.84
.004131075	16018.4
.004121075	16016.96
.004111075	16015.52
.004101075	16014.08
.004091075	16012.64
.004081075	16011.2
.004071075	16009.76
.004061075	16008.32
.004051075	16006.87
.004041075	16005.43
.004031075	16003.99
.004021075	16002.55
.004011075	16001.11
.004001075	15999.67
.003991075	15998.23
.003981075	15996.79
.003971075	15995.35
.003961075	15993.91
.003951075	15992.47
.003941075	15991.02
.003931075	15989.58
.003921075	15988.14
.003911075	15986.7
.003901075	15985.26
.003891075	15983.82
.003881075	15982.38
.003871075	15980.94
.003861075	15979.5
.003851075	15978.06
.003841075	15976.62
.003831075	15975.18
.003821075	15973.74
.003811075	15972.3
.003801075	15970.86
.003791075	15969.42
.003781075	15967.98
.003771075	15966.54
.003761075	15965.1
.003751075	15963.66
.003741075	15962.22
.003731075	15960.78
.003721075	15959.35
.003711075	15957.91
.003701075	15956.47
.003691075	15955.03
.003681075	15953.59
.003671075	15952.15
.003661075	15950.71
.003651075	15949.27
.003641075	15947.83
.003631075	15946.39
.003621075	15944.95
.003611075	15943.51
.003601075	15942.07
.003591075	15940.63
.003581075	15939.2
.003571075	15937.76
.003561075	15936.32
.003551075	15934.88
.003541075	15933.44
.003531075	15932
.003521075	15930.56
.003511075	15929.12
.003501075	15927.69
.003491075	15926.25
.003481075	15924.81
.003471075	15923.37
.003461075	15921.93
.003451075	15920.49
.003441075	15919.06
.003431075	15917.62
.003421075	15916.18
.003411075	15914.74
.003401075	15913.3
.003391075	15911.87
.003381075	15910.43
.003371075	15908.99
.003361075	15907.55
.003351075	15906.11
.003341075	15904.68
.003331075	15903.24
.003321075	15901.8
.003311075	15900.36
.003301075	15898.93
.003291075	15897.49
.003281075	15896.05
.003271075	15894.61
.003261075	15893.18
.003251075	15891.74
.003241075	15890.3
.003231075	15888.86
.003221075	15887.43
.003211075	15885.99
.003201075	15884.55
.003191075	15883.12
.003181075	15881.68
.003171075	15880.24
.003161075	15878.8
.003151075	15877.37
.003141075	15875.93
.003131075	15874.49
.003121075	15873.06
.003111075	15871.62
.003101075	15870.18
.003091075	15868.75
.003081075	15867.31
.003071075	15865.87
.003061075	15864.44
.003051075	15863
.003041075	15861.56
.003031075	15860.13
.003021075	15858.69
.003011075	15857.26
.003001075	15855.82
.002991075	15854.38
.002981075	15852.95
.002971075	15851.51
.002961075	15850.08
.002951075	15848.64
.002941075	15847.2
.002931075	15845.77
.002921075	15844.33
.002911075	15842.9
.002901075	15841.46
.002891075	15840.02
.002881075	15838.59
.002871075	15837.15
.002861075	15835.72
.002851075	15834.28
.002841075	15832.85
.002831075	15831.41
.002821075	15829.97
.002811075	15828.54
.002801075	15827.1
.002791075	15825.67
.002781075	15824.23
.002771075	15822.8
.002761075	15821.36
.002751075	15819.93
.002741075	15818.49
.002731075	15817.06
.002721075	15815.62
.002711075	15814.19
.002701075	15812.75
.002691075	15811.32
.002681075	15809.88
.002671075	15808.45
.002661075	15807.01
.002651075	15805.58
.002641075	15804.15
.002631075	15802.71
.002621075	15801.28
.002611075	15799.84
.002601075	15798.41
.002591075	15796.97
.002581075	15795.54
.002571075	15794.11
.002561075	15792.67
.002551075	15791.24
.002541075	15789.8
.002531075	15788.37
.002521075	15786.93
.002511075	15785.5
.002501075	15784.07
.002491075	15782.63
.002481075	15781.2
.002471075	15779.77
.002461075	15778.33
.002451075	15776.9
.002441075	15775.46
.002431075	15774.03
.002421075	15772.6
.002411075	15771.16
.002401075	15769.73
.002391075	15768.3
.002381075	15766.86
.002371075	15765.43
.002361075	15764
.002351075	15762.56
.002341075	15761.13
.002331075	15759.7
.002321075	15758.26
.002311075	15756.83
.002301075	15755.4
.002291075	15753.96
.002281075	15752.53
.002271075	15751.1
.002261075	15749.66
.002251075	15748.23
.002241075	15746.8
.002231075	15745.37
.002221075	15743.93
.002211075	15742.5
.002201075	15741.07
.002191075	15739.64
.002181075	15738.2
.002171075	15736.77
.002161075	15735.34
.002151075	15733.91
.002141075	15732.47
.002131075	15731.04
.002121075	15729.61
.002111075	15728.18
.002101075	15726.75
.002091075	15725.31
.002081075	15723.88
.002071075	15722.45
.002061075	15721.02
.002051075	15719.59
.002041075	15718.16
.002031075	15716.72
.002021075	15715.29
.002011075	15713.86
.002001075	15712.43
.001991075	15711
.001981075	15709.56
.001971075	15708.13
.001961075	15706.7
.001951075	15705.27
.001941075	15703.84
.001931075	15702.41
.001921075	15700.98
.001911075	15699.55
.001901075	15698.11
.001891075	15696.68
.001881075	15695.25
.001871075	15693.82
.001861075	15692.39
.001851075	15690.96
.001841075	15689.53
.001831075	15688.1
.001821075	15686.67
.001811075	15685.24
.001801075	15683.81
.001791075	15682.37
.001781075	15680.94
.001771075	15679.51
.001761075	15678.08
.001751075	15676.65
.001741075	15675.22
.001731075	15673.79
.001721075	15672.36
.001711075	15670.93
.001701075	15669.5
.001691075	15668.07
.001681075	15666.64
.001671075	15665.21
.001661075	15663.78
.001651075	15662.35
.001641075	15660.92
.001631075	15659.49
.001621075	15658.06
.001611075	15656.63
.001601075	15655.2
.001591075	15653.77
.001581075	15652.34
.001571075	15650.91
.001561075	15649.48
.001551075	15648.05
.001541075	15646.62
.001531075	15645.19
.001521075	15643.76
.001511075	15642.33
.001501075	15640.91
.001491075	15639.48
.001481075	15638.05
.001471075	15636.62
.001461075	15635.19
.001451075	15633.76
.001441075	15632.33
.001431075	15630.9
.001421075	15629.47
.001411075	15628.04
.001401075	15626.61
.001391075	15625.18
.001381075	15623.76
.001371075	15622.33
.001361075	15620.9
.001351075	15619.47
.001341075	15618.04
.001331075	15616.61
.001321075	15615.18
.001311075	15613.76
.001301075	15612.33
.001291075	15610.9
.001281075	15609.47
.001271075	15608.04
.001261075	15606.61
.001251075	15605.19
.001241075	15603.76
.001231075	15602.33
.001221075	15600.9
.001211075	15599.47
.001201075	15598.05
.001191075	15596.62
.001181075	15595.19
.001171075	15593.76
.001161075	15592.33
.001151075	15590.91
.001141075	15589.48
.001131075	15588.05
.001121075	15586.62
.001111075	15585.2
.001101075	15583.77
.001091075	15582.34
.001081075	15580.91
.001071075	15579.49
.001061075	15578.06
.001051075	15576.63
.001041075	15575.2
.001031075	15573.78
.001021075	15572.35
.001011075	15570.92
.001001075	15569.5
9.999E-04	15569.33
9.910748E-04	15568.07
9.810748E-04	15566.64
9.710748E-04	15565.22
9.610748E-04	15563.79
9.510748E-04	15562.36
9.410748E-04	15560.93
9.310748E-04	15559.51
9.210748E-04	15558.08
9.110748E-04	15556.65
9.010748E-04	15555.23
8.910748E-04	15553.8
8.810748E-04	15552.38
8.710748E-04	15550.95
8.610748E-04	15549.52
8.510748E-04	15548.1
8.410748E-04	15546.67
8.310748E-04	15545.24
8.210748E-04	15543.82
8.110748E-04	15542.39
8.010748E-04	15540.97
7.910748E-04	15539.54
7.810748E-04	15538.11
7.710748E-04	15536.69
7.610748E-04	15535.26
7.510748E-04	15533.84
7.410748E-04	15532.41
7.310748E-04	15530.98
7.210748E-04	15529.56
7.110748E-04	15528.13
7.010748E-04	15526.71
6.910748E-04	15525.28
6.810748E-04	15523.86
6.710748E-04	15522.43
6.610748E-04	15521
6.510748E-04	15519.58
6.410748E-04	15518.15
6.310748E-04	15516.73
6.210748E-04	15515.3
6.110748E-04	15513.88
6.010748E-04	15512.45
