W(CR)	 HM(FCC_A1#1)
.4705435	17554.12
.4705435	17554.12
.4695435	17554.34
.4685435	17554.54
.4675435	17554.73
.4665435	17554.89
.4655435	17555.03
.4645435	17555.14
.4635435	17555.24
.4625435	17555.31
.4615435	17555.36
.4605435	17555.39
.4595435	17555.4
.4585435	17555.39
.4575435	17555.35
.4565435	17555.3
.4555435	17555.22
.4545435	17555.12
.4535435	17555
.4525435	17554.85
.4515435	17554.69
.4505435	17554.51
.4495435	17554.3
.4485435	17554.07
.4475435	17553.82
.4465435	17553.55
.4455435	17553.25
.4445435	17552.94
.4435435	17552.6
.4425435	17552.24
.4415435	17551.86
.4405435	17551.46
.4395435	17551.04
.4385435	17550.59
.4375435	17550.13
.4365435	17549.64
.4355435	17549.13
.4345435	17548.6
.4335435	17548.05
.4325435	17547.48
.4315435	17546.88
.4305435	17546.27
.4295435	17545.63
.4285435	17544.97
.4275435	17544.29
.4265435	17543.59
.4255435	17542.87
.4245435	17542.13
.4235435	17541.36
.4225435	17540.58
.4215435	17539.77
.4205435	17538.94
.4195435	17538.09
.4185435	17537.22
.4175435	17536.33
.4165435	17535.41
.4155435	17534.48
.4145435	17533.52
.4135435	17532.54
.4125435	17531.54
.4115435	17530.52
.4105435	17529.48
.4095435	17528.42
.4085435	17527.33
.4075435	17526.23
.4065435	17525.1
.4055435	17523.95
.4045435	17522.79
.4035435	17521.6
.4025435	17520.39
.4015435	17519.15
.4005435	17517.9
.3995435	17516.62
.3985435	17515.33
.3975435	17514.01
.3965435	17512.68
.3955435	17511.32
.3945435	17509.94
.3935435	17508.54
.3925435	17507.11
.3915435	17505.67
.3905435	17504.21
.3895435	17502.72
.3885435	17501.22
.3875435	17499.69
.3865435	17498.14
.3855435	17496.57
.3845435	17494.98
.3835435	17493.37
.3825435	17491.74
.3815435	17490.09
.3805435	17488.42
.3795435	17486.72
.3785435	17485
.3775435	17483.27
.3765435	17481.51
.3755435	17479.73
.3745435	17477.93
.3735435	17476.11
.3725435	17474.27
.3715435	17472.41
.3705435	17470.53
.3695435	17468.62
.3685435	17466.7
.3675435	17464.75
.3665435	17462.79
.3655435	17460.8
.3645435	17458.8
.3635435	17456.77
.3625435	17454.72
.3615435	17452.65
.3605435	17450.56
.3595435	17448.45
.3585435	17446.32
.3575435	17444.16
.3565435	17441.99
.3555435	17439.79
.3545435	17437.58
.3535435	17435.34
.3525435	17433.09
.3515435	17430.81
.3505435	17428.51
.3495435	17426.2
.3485435	17423.86
.3475435	17421.5
.3465435	17419.12
.3455435	17416.72
.3445435	17414.3
.3435435	17411.85
.3425435	17409.39
.3415435	17406.91
.3405435	17404.4
.3395435	17401.88
.3385435	17399.34
.3375435	17396.77
.3365435	17394.19
.3355435	17391.58
.3345435	17388.95
.3335435	17386.31
.3325435	17383.64
.3315435	17380.95
.3305435	17378.24
.3295435	17375.51
.3285435	17372.76
.3275435	17369.99
.3265435	17367.2
.3255435	17364.39
.3245435	17361.56
.3235435	17358.71
.3225435	17355.84
.3215435	17352.95
.3205435	17350.03
.3195435	17347.1
.3185435	17344.15
.3175435	17341.17
.3165435	17338.18
.3155435	17335.17
.3145435	17332.13
.3135435	17329.08
.3125435	17326
.3115435	17322.91
.3105435	17319.79
.3095435	17316.66
.3085435	17313.5
.3075435	17310.32
.3065435	17307.13
.3055435	17303.91
.3045435	17300.67
