
 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=W(N), col-2=GM(FCC_A1#1), col-3=GM(BCC_A2), col-4=GM(HCP_A3#1), col-5=GM1, col-6=GM2,
   7.53659E-03  -1.66010E+04  -1.83531E+04  -1.59971E+04  -1.75213E+03   6.03894E+02
   7.63659E-03  -1.66164E+04  -1.83520E+04  -1.60084E+04  -1.73557E+03   6.07962E+02
   7.73659E-03  -1.66318E+04  -1.83508E+04  -1.60198E+04  -1.71902E+03   6.12007E+02
   7.83659E-03  -1.66471E+04  -1.83496E+04  -1.60311E+04  -1.70250E+03   6.16029E+02
   7.93659E-03  -1.66624E+04  -1.83484E+04  -1.60424E+04  -1.68599E+03   6.20027E+02
   8.03659E-03  -1.66777E+04  -1.83472E+04  -1.60537E+04  -1.66950E+03   6.24003E+02
   8.13659E-03  -1.66929E+04  -1.83459E+04  -1.60649E+04  -1.65303E+03   6.27956E+02
   8.23659E-03  -1.67081E+04  -1.83446E+04  -1.60762E+04  -1.63657E+03   6.31885E+02
   8.33659E-03  -1.67232E+04  -1.83433E+04  -1.60874E+04  -1.62014E+03   6.35792E+02
   8.43659E-03  -1.67383E+04  -1.83420E+04  -1.60986E+04  -1.60372E+03   6.39676E+02
   8.53659E-03  -1.67533E+04  -1.83407E+04  -1.61098E+04  -1.58732E+03   6.43537E+02
   8.63659E-03  -1.67684E+04  -1.83393E+04  -1.61210E+04  -1.57094E+03   6.47375E+02
   8.73659E-03  -1.67833E+04  -1.83379E+04  -1.61321E+04  -1.55458E+03   6.51190E+02
   8.83659E-03  -1.67983E+04  -1.83365E+04  -1.61433E+04  -1.53824E+03   6.54983E+02
   8.93659E-03  -1.68132E+04  -1.83351E+04  -1.61544E+04  -1.52191E+03   6.58753E+02
   9.03659E-03  -1.68280E+04  -1.83336E+04  -1.61655E+04  -1.50561E+03   6.62500E+02
   9.13659E-03  -1.68428E+04  -1.83322E+04  -1.61766E+04  -1.48932E+03   6.66225E+02
   9.23659E-03  -1.68576E+04  -1.83307E+04  -1.61877E+04  -1.47305E+03   6.69927E+02
   9.33659E-03  -1.68724E+04  -1.83292E+04  -1.61988E+04  -1.45680E+03   6.73607E+02
   9.43659E-03  -1.68871E+04  -1.83276E+04  -1.62098E+04  -1.44056E+03   6.77264E+02
   9.53659E-03  -1.69017E+04  -1.83261E+04  -1.62208E+04  -1.42435E+03   6.80899E+02
   9.63659E-03  -1.69164E+04  -1.83245E+04  -1.62318E+04  -1.40815E+03   6.84511E+02
