
 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=W(N), col-2=HM(FCC_A1#1), col-3=HM(BCC_A2), col-4=HM(HCP_A3#1), col-5=HM1, col-6=HM2,
   7.53659E-03   1.39096E+04   8.50065E+03   1.35138E+04  -5.40897E+03  -3.95859E+02
   7.63659E-03   1.38902E+04   8.51114E+03   1.35160E+04  -5.37910E+03  -3.74207E+02
   7.73659E-03   1.38709E+04   8.52162E+03   1.35182E+04  -5.34925E+03  -3.52627E+02
   7.83659E-03   1.38515E+04   8.53209E+03   1.35204E+04  -5.31943E+03  -3.31117E+02
   7.93659E-03   1.38322E+04   8.54256E+03   1.35225E+04  -5.28964E+03  -3.09679E+02
   8.03659E-03   1.38129E+04   8.55302E+03   1.35246E+04  -5.25987E+03  -2.88312E+02
   8.13659E-03   1.37936E+04   8.56348E+03   1.35266E+04  -5.23012E+03  -2.67016E+02
   8.23659E-03   1.37743E+04   8.57393E+03   1.35285E+04  -5.20040E+03  -2.45791E+02
   8.33659E-03   1.37551E+04   8.58437E+03   1.35304E+04  -5.17071E+03  -2.24636E+02
   8.43659E-03   1.37359E+04   8.59481E+03   1.35323E+04  -5.14104E+03  -2.03552E+02
   8.53659E-03   1.37166E+04   8.60524E+03   1.35341E+04  -5.11140E+03  -1.82539E+02
   8.63659E-03   1.36974E+04   8.61566E+03   1.35359E+04  -5.08179E+03  -1.61595E+02
   8.73659E-03   1.36783E+04   8.62608E+03   1.35376E+04  -5.05220E+03  -1.40722E+02
   8.83659E-03   1.36591E+04   8.63650E+03   1.35392E+04  -5.02263E+03  -1.19920E+02
   8.93659E-03   1.36400E+04   8.64690E+03   1.35408E+04  -4.99309E+03  -9.91867E+01
   9.03659E-03   1.36209E+04   8.65730E+03   1.35424E+04  -4.96358E+03  -7.85238E+01
   9.13659E-03   1.36018E+04   8.66770E+03   1.35439E+04  -4.93409E+03  -5.79306E+01
   9.23659E-03   1.35827E+04   8.67809E+03   1.35453E+04  -4.90463E+03  -3.74071E+01
   9.33659E-03   1.35637E+04   8.68847E+03   1.35467E+04  -4.87519E+03  -1.69532E+01
   9.43659E-03   1.35446E+04   8.69885E+03   1.35481E+04  -4.84578E+03   3.43127E+00
   9.53659E-03   1.35256E+04   8.70922E+03   1.35494E+04  -4.81639E+03   2.37464E+01
   9.63659E-03   1.35066E+04   8.71958E+03   1.35506E+04  -4.78703E+03   4.39923E+01
   9.73659E-03   1.34876E+04   8.72994E+03   1.35518E+04  -4.75769E+03   6.41691E+01
   9.83659E-03   1.34687E+04   8.74030E+03   1.35530E+04  -4.72838E+03   8.42769E+01
   9.93659E-03   1.34497E+04   8.75064E+03   1.35541E+04  -4.69910E+03   1.04316E+02
   9.99900E-03   1.34379E+04   8.75710E+03   1.35547E+04  -4.68083E+03   1.16787E+02

 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=W(N), col-2=HM(FCC_A1#1), col-3=HM(BCC_A2), col-4=HM(HCP_A3#1), col-5=HM1, col-6=HM2,
   7.53659E-03   1.39096E+04   8.50065E+03   1.35138E+04  -5.40897E+03  -3.95859E+02
   7.43659E-03   1.39290E+04   8.49016E+03   1.35114E+04  -5.43887E+03  -4.17582E+02
   7.33659E-03   1.39485E+04   8.47966E+03   1.35091E+04  -5.46880E+03  -4.39377E+02
   7.23659E-03   1.39679E+04   8.46915E+03   1.35067E+04  -5.49875E+03  -4.61244E+02
   7.13659E-03   1.39874E+04   8.45864E+03   1.35042E+04  -5.52872E+03  -4.83182E+02
   7.03659E-03   1.40068E+04   8.44812E+03   1.35017E+04  -5.55872E+03  -5.05192E+02
   6.93659E-03   1.40264E+04   8.43760E+03   1.34991E+04  -5.58875E+03  -5.27275E+02
   6.83659E-03   1.40459E+04   8.42707E+03   1.34964E+04  -5.61881E+03  -5.49430E+02
   6.73659E-03   1.40654E+04   8.41654E+03   1.34938E+04  -5.64889E+03  -5.71656E+02
   6.63659E-03   1.40850E+04   8.40599E+03   1.34910E+04  -5.67899E+03  -5.93956E+02
   6.53659E-03   1.41046E+04   8.39545E+03   1.34882E+04  -5.70912E+03  -6.16327E+02
   6.43659E-03   1.41242E+04   8.38489E+03   1.34854E+04  -5.73928E+03  -6.38772E+02
   6.33659E-03   1.41438E+04   8.37433E+03   1.34825E+04  -5.76946E+03  -6.61289E+02
