W(N)	 W(BCC_A2,N)
.009999	.009999
.009936589	.009936589
.009836589	.009836589
.009736589	.009736589
.009636589	.009636589
.009536589	.009536589
.009436589	.009436589
.009336589	.009336589
.009236589	.009236589
.009136589	.009136589
.009036589	.009036589
.008936589	.008936589
.008836589	.008836589
.008736589	.008736589
.008636589	.008636589
.008536589	.008536589
.008436589	.008436589
.008336589	.008336589
.008236589	.008236589
.008136589	.008136589
.008036589	.008036589
.007936589	.007936589
.007836589	.007836589
.007736589	.007736589
.007636589	.007636589
.007536589	.007536589
.007536589	.007536589
.007436589	.007436589
.007336589	.007336589
.007236589	.007236589
.007136589	.007136589
.007036589	.007036589
.006936589	.006936589
.006836589	.006836589
.006736589	.006736589
.006636589	.006636589
.006536589	.006536589
.006436589	.006436589
.006336589	.006336589
.006236589	.006236589
.006136589	.006136589
.006036589	.006036589
.005936589	.005936589
.005836589	.005836589
.005736589	.005736589
.005636589	.005636589
.005536589	.005536589
.005436589	.005436589
.005336589	.005336589
.005236589	.005236589
.005136589	.005136589
.005036589	.005036589
.004936589	.004936589
.004836589	.004836589
.004736589	.004736589
.004636589	.004636589
.004536589	.004536589
.004436589	.004436589
.004336589	.004336589
.004236589	.004236589
.004136589	.004136589
.004036589	.004036589
.003936589	.003936589
.003836589	.003836589
.003736589	.003736589
.003636589	.003636589
.003536589	.003536589
.003436589	.003436589
.003336589	.003336589
.003236589	.003236589
.003136589	.003136589
.003036589	.003036589
.002936589	.002936589
.002836589	.002836589
.002736589	.002736589
.002636589	.002636589
.002536589	.002536589
.002436589	.002436589
.002336589	.002336589
.002236589	.002236589
.002136589	.002136589
.002036589	.002036589
.001936589	.001936589
.001836589	.001836589
.001736589	.001736589
.001636589	.001636589
.001536589	.001536589
.001436589	.001436589
.001336589	.001336589
.001236589	.001236589
.001136589	.001136589
.001036589	.001036589
9.365889E-04	9.365889E-04
8.365889E-04	8.365889E-04
7.365889E-04	7.365889E-04
6.365889E-04	6.365889E-04
5.365889E-04	5.365889E-04
4.365889E-04	4.365889E-04
3.365889E-04	3.365889E-04
2.365889E-04	2.365889E-04
1.365889E-04	1.365889E-04
3.65889E-05	3.65889E-05
1.1E-05	1.1E-05
