T	 HM(FCC_A1#1)
1500	45716.82
1499.999	45716.79
1490	45350.62
1480	44985.28
1470	44620.82
1460	44257.21
1450	43894.47
1440	43532.6
1430	43171.58
1420	42811.43
1410	42452.15
1400	42093.73
1390	41736.16
1380	41379.46
1370	41023.63
1360	40668.65
1350	40314.53
1340	39961.27
1330	39608.87
1320	39257.33
1310	38906.65
1300	38556.82
1290	38207.86
1280	37859.75
1270	37512.5
1260	37166.1
1250	36820.56
1240	36475.88
1230	36132.05
1220	35789.07
1210	35446.96
1200	35105.69
1190	34765.28
1180	34425.73
1170	34087.03
1160	33749.18
1150	33412.18
1140	33076.04
1130	32740.75
1120	32406.32
1110	32072.74
1100	31740.01
1090	31408.13
1080	31077.11
1070	30746.93
1060	30417.61
1050	30089.15
1040	29761.53
1030	29434.77
1020	29108.86
1010	28783.81
1000	28459.6
990	28136.25
980	27813.76
970	27492.11
960	27171.33
950	26851.39
940	26532.31
930	26214.09
920	25896.72
910	25580.21
900	25264.55
890	24949.75
880	24635.82
870	24322.74
860	24010.52
850	23699.16
840	23388.66
830	23079.03
820	22770.26
810	22462.35
800	22155.32
790	21849.15
780	21543.85
770	21239.43
760	20935.88
750	20633.2
740	20331.4
730	20030.48
720	19730.45
710	19431.3
700	19133.04
690	18835.67
680	18539.19
670	18243.61
660	17948.93
650	17655.16
640	17362.3
630	17070.35
620	16779.33
610	16489.23
600	16200.06
590	15911.83
580	15624.54
570	15338.2
560	15052.82
550	14768.41
540	14484.98
530	14202.53
520	13921.08
510	13640.64
500	13361.21
490	13082.83
480	12805.49
470	12529.21
460	12254.02
450	11979.93
440	11706.97
430	11435.15
420	11164.5
410	10895.05
400	10626.83
390	10359.87
380	10094.21
370	9829.897
360	9566.97
350	9305.482
340	9045.491
330	8787.062
320	8530.268
310	8275.191
300	8021.925
290	7770.575
280	7521.263
270	7274.129
260	7029.333
250	6787.062
240	6547.533
230	6311.001
220	6077.769
210	5848.193
200	5622.702
190	5401.815
180	5186.163
170	4976.523
160	4773.862
150	4579.397
140	4394.683
130	4221.729
120	4063.18
110	3922.575
100	3804.729
